TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma_p,.chain,.iteration,.draw
4.15441,66.4748,3.66601,52.0861,0.308803,0.244331,0.333352,0.304102,0.202246,1,1,1
4.18465,67.7416,3.59711,55.3273,0.288136,0.256439,0.399623,0.302716,0.198661,1,2,2
4.24956,65.4191,3.86387,55.0836,0.326801,0.270009,0.275425,0.275085,0.202449,1,3,3
4.2632,66.0927,3.96316,53.469,0.312765,0.284965,0.307809,0.278784,0.199141,1,4,4
4.31309,67.4476,3.5617,49.6006,0.307883,0.299857,0.366082,0.335834,0.203881,1,5,5
4.3348,66.3115,3.92574,50.885,0.303301,0.282117,0.414123,0.327445,0.200798,1,6,6
4.25536,66.8792,3.43078,50.3696,0.323971,0.29378,0.384472,0.290697,0.201866,1,7,7
4.29655,67.9692,3.33761,50.8433,0.336153,0.291779,0.341138,0.290897,0.20431,1,8,8
4.37355,66.7442,3.83533,49.7184,0.32158,0.305691,0.192468,0.369535,0.202093,1,9,9
4.43362,65.4453,3.79561,49.1308,0.315399,0.317432,0.310349,0.291564,0.20051,1,10,10
4.34,67.514,3.70202,53.1258,0.294768,0.308644,0.203603,0.396869,0.2023,1,11,11
4.38194,68.8158,3.46312,48.5426,0.290404,0.298554,0.368808,0.307122,0.200989,1,12,12
4.31985,68.3358,3.67535,53.449,0.286782,0.291002,0.228395,0.311902,0.201078,1,13,13
4.30686,67.0263,4.13396,52.6002,0.291818,0.283926,0.27645,0.308318,0.201541,1,14,14
4.2458,69.5189,3.20539,52.614,0.288565,0.29609,0.191022,0.296188,0.204281,1,15,15
4.2778,67.3969,4.11339,50.9663,0.308628,0.302331,0.168617,0.342452,0.201179,1,16,16
4.17969,69.0384,3.54508,50.5043,0.290627,0.296767,0.335348,0.30564,0.20114,1,17,17
4.20034,69.5605,3.88095,53.2004,0.29448,0.352882,0.329799,0.294006,0.201401,1,18,18
4.20815,69.7653,3.69258,49.7279,0.317652,0.284429,0.22108,0.313575,0.202752,1,19,19
4.22133,69.9218,3.63651,47.7968,0.311469,0.263035,0.240254,0.323303,0.204124,1,20,20
4.20645,67.2752,3.78564,50.47,0.308177,0.259382,0.394254,0.309304,0.198521,1,21,21
4.20148,68.582,3.74339,49.8981,0.312599,0.277069,0.297348,0.306565,0.198046,1,22,22
4.18651,67.2337,4.10589,49.5253,0.292522,0.235816,0.339868,0.321345,0.201638,1,23,23
4.15103,68.1531,3.50987,53.5389,0.300695,0.256225,0.251506,0.298065,0.199636,1,24,24
4.20013,67.3069,4.15952,52.0731,0.311849,0.252917,0.211687,0.29805,0.203314,1,25,25
4.10827,67.4066,3.43373,53.6215,0.295681,0.24867,0.261137,0.358631,0.199203,1,26,26
4.13663,66.6526,3.6027,55.9214,0.326846,0.319156,0.3286,0.270967,0.204767,1,27,27
4.15924,68.0845,3.88531,49.8745,0.271965,0.265858,0.246355,0.350749,0.198445,1,28,28
4.14845,68.6467,3.45389,48.4462,0.285758,0.283812,0.243447,0.335571,0.203345,1,29,29
4.27272,68.4797,4.08071,51.6872,0.28063,0.282456,0.234695,0.343428,0.201432,1,30,30
4.28252,66.9959,3.74163,51.6785,0.279512,0.276683,0.269568,0.296394,0.199927,1,31,31
4.28697,66.9173,3.88258,53.2166,0.284883,0.258329,0.223306,0.315024,0.20175,1,32,32
4.25047,66.4673,3.59027,52.0714,0.285277,0.23355,0.268774,0.347418,0.202374,1,33,33
4.29976,67.6948,3.71562,54.6175,0.307665,0.305981,0.286094,0.376632,0.201715,1,34,34
4.35552,67.132,3.63726,53.7404,0.324715,0.269991,0.347356,0.320801,0.200908,1,35,35
4.25311,68.4792,3.90427,52.3041,0.289148,0.269678,0.408835,0.281136,0.202215,1,36,36
4.23774,68.1137,4.11996,53.4835,0.291864,0.261046,0.396268,0.301217,0.202867,1,37,37
4.19684,68.3856,3.97046,51.1356,0.278806,0.272032,0.35412,0.362778,0.199197,1,38,38
4.20354,69.0853,3.91133,52.6826,0.267386,0.256194,0.391836,0.321973,0.200452,1,39,39
4.2499,68.9449,3.82287,50.2465,0.277673,0.272549,0.405898,0.317571,0.203096,1,40,40
4.27069,68.4998,3.53095,51.9189,0.28061,0.253829,0.365228,0.330979,0.202549,1,41,41
4.223,69.7299,3.56695,52.898,0.28594,0.284035,0.292179,0.274406,0.200205,1,42,42
4.24786,70.6359,3.79653,53.2653,0.287125,0.302354,0.333774,0.332293,0.20671900000000001,1,43,43
4.18166,67.8759,4.09015,53.401,0.3006,0.273116,0.29868,0.336896,0.195332,1,44,44
4.12137,69.5462,3.76755,54.0833,0.294277,0.269086,0.377286,0.364067,0.205517,1,45,45
4.1078,69.7421,3.75405,52.1811,0.289748,0.248943,0.255547,0.336029,0.198309,1,46,46
4.10899,69.5803,3.70317,50.7743,0.289078,0.2744,0.22782,0.343552,0.202201,1,47,47
3.97434,67.6389,3.40087,49.4797,0.292878,0.276456,0.332225,0.387445,0.199838,1,48,48
3.97135,65.3675,3.91329,50.533,0.291295,0.283246,0.261903,0.347416,0.201174,1,49,49
3.92197,67.3094,3.56953,52.4522,0.297935,0.277529,0.280273,0.348009,0.201409,1,50,50
3.96097,67.4019,3.54309,52.859,0.298284,0.278783,0.320498,0.333968,0.201946,1,51,51
3.93692,67.0285,3.8649,50.3236,0.275628,0.258472,0.252782,0.35086,0.199737,1,52,52
3.96839,65.9899,3.91853,52.0934,0.283808,0.296283,0.334846,0.38444,0.202285,1,53,53
3.89926,67.5313,3.28908,49.9409,0.291984,0.300696,0.304779,0.343124,0.198779,1,54,54
3.89966,68.5091,3.60754,48.365,0.297673,0.289828,0.33558,0.395979,0.201491,1,55,55
3.92196,67.5351,3.69681,48.4064,0.28624,0.297765,0.340547,0.368153,0.202186,1,56,56
3.93153,68.6255,3.77079,50.9135,0.274391,0.272052,0.235287,0.368938,0.202873,1,57,57
3.91866,67.7888,3.95612,51.7936,0.282516,0.267742,0.246942,0.346419,0.20029,1,58,58
3.94395,68.6066,3.17055,48.4412,0.268083,0.272276,0.402605,0.349475,0.20131,1,59,59
3.98804,66.1489,4.33045,51.2987,0.27404,0.263288,0.318781,0.347053,0.199833,1,60,60
3.96773,67.9819,3.50061,50.7575,0.265856,0.313223,0.331581,0.343932,0.200639,1,61,61
3.91358,66.6099,3.74938,52.5752,0.281627,0.338753,0.283883,0.318524,0.205425,1,62,62
3.99221,66.3097,3.78189,50.431,0.278653,0.292088,0.216581,0.264886,0.200837,1,63,63
3.98149,68.3842,3.88036,53.0826,0.272597,0.331998,0.341503,0.306487,0.202128,1,64,64
3.96082,68.3513,3.46576,48.7771,0.261487,0.280394,0.2982,0.298266,0.200735,1,65,65
3.91636,69.4616,4.12111,54.6787,0.263362,0.25902,0.248303,0.296115,0.203151,1,66,66
3.9302,67.9455,3.68086,50.261,0.281225,0.254854,0.268851,0.320478,0.198916,1,67,67
3.9029,68.3801,3.65363,50.5839,0.273909,0.248083,0.303286,0.359504,0.199137,1,68,68
3.91642,68.3288,3.94394,51.3156,0.285457,0.289425,0.250253,0.333895,0.200397,1,69,69
3.84879,68.3168,3.46219,49.1191,0.292897,0.274599,0.200414,0.415007,0.201437,1,70,70
3.89509,65.8875,4.16634,55.37,0.300457,0.27103,0.294857,0.30369,0.201396,1,71,71
3.88115,65.3342,3.60863,50.3628,0.303501,0.287446,0.327713,0.387709,0.201555,1,72,72
3.99906,66.8934,4.43089,55.2685,0.315615,0.276345,0.307779,0.262944,0.19948,1,73,73
4,68.2164,3.40441,53.1783,0.290039,0.278165,0.246923,0.334636,0.203151,1,74,74
4.01492,69.658,3.97931,48.9636,0.279655,0.246192,0.239806,0.301593,0.199704,1,75,75
4.07787,67.5881,3.75232,50.0032,0.272242,0.289479,0.232261,0.345091,0.204512,1,76,76
4.06414,66.711,3.43545,48.4818,0.269187,0.277701,0.229097,0.304472,0.201566,1,77,77
4.08156,66.3481,4.01735,51.0473,0.285817,0.298269,0.249883,0.285397,0.203776,1,78,78
4.05616,66.0227,3.85155,47.651,0.285214,0.297362,0.288873,0.35025,0.202778,1,79,79
4.07975,66.9853,3.74312,50.3164,0.284321,0.270708,0.250123,0.332396,0.199554,1,80,80
4.05396,68.5623,3.68426,52.579,0.281001,0.30237000000000003,0.218914,0.394244,0.199515,1,81,81
4.10189,70.4808,3.84561,51.0157,0.277315,0.310289,0.201775,0.371396,0.201563,1,82,82
4.11396,68.612,3.51831,49.6341,0.286497,0.338162,0.273172,0.310585,0.200779,1,83,83
4.1372,67.5642,3.71339,51.6054,0.287996,0.291347,0.208706,0.380544,0.200242,1,84,84
4.26198,68.3544,3.6685,48.6472,0.292408,0.268573,0.299761,0.342531,0.200885,1,85,85
4.20299,67.4796,3.7855,50.1881,0.289488,0.262211,0.279517,0.333196,0.202171,1,86,86
4.13155,66.5752,3.89147,50.9579,0.270873,0.287839,0.39255,0.380756,0.198975,1,87,87
4.12727,65.324700000000007,3.93374,51.9578,0.272552,0.282132,0.311971,0.340592,0.202171,1,88,88
4.2261,65.3927,3.68462,52.4889,0.278393,0.301865,0.281782,0.322648,0.199132,1,89,89
4.23548,68.0065,3.62152,51.7241,0.299664,0.257064,0.301526,0.411838,0.203102,1,90,90
4.28332,68.17,3.68943,51.51,0.2991,0.267796,0.278546,0.339076,0.203969,1,91,91
4.30949,69.8591,3.73925,52.9034,0.305545,0.284066,0.327492,0.252385,0.19893,1,92,92
4.21954,67.5966,3.80179,49.8019,0.301755,0.252176,0.258821,0.365058,0.204682,1,93,93
4.17631,67.3391,3.75203,52.8824,0.325069,0.263847,0.26307,0.310615,0.199828,1,94,94
4.1583,66.7763,3.58859,52.2788,0.312576,0.300803,0.295022,0.370445,0.200227,1,95,95
4.17817,65.542,3.53693,52.3773,0.321355,0.303268,0.195325,0.395394,0.203081,1,96,96
4.22255,66.1779,3.91376,51.2021,0.327585,0.303343,0.257151,0.416095,0.20204,1,97,97
4.24972,66.459,3.87748,52.2347,0.284367,0.277222,0.208566,0.284936,0.200971,1,98,98
4.22095,67.9944,3.47994,51.1779,0.284955,0.279193,0.232362,0.327995,0.203299,1,99,99
4.10984,66.9515,3.77767,51.1226,0.281726,0.316938,0.226958,0.323917,0.200261,1,100,100
4.13459,68.2542,4.07582,54.509,0.261626,0.297133,0.259133,0.3533,0.203989,1,101,101
4.16198,67.2177,3.86627,50.196,0.25261,0.278656,0.194749,0.328567,0.19869,1,102,102
4.148,66.9329,3.73699,51.9269,0.250363,0.27294,0.22095,0.321551,0.200264,1,103,103
4.14533,67.171,3.62457,50.8184,0.255246,0.277187,0.141811,0.375297,0.2051,1,104,104
4.20099,65.8174,3.65121,51.5923,0.279303,0.304489,0.281679,0.267503,0.19782,1,105,105
4.19645,66.2089,3.5343,49.5114,0.282673,0.2904,0.3116,0.333596,0.203647,1,106,106
4.21295,67.4562,3.4961,53.3964,0.273343,0.326988,0.123764,0.339121,0.202083,1,107,107
4.25265,67.4427,3.54868,53.6979,0.277585,0.330186,0.154934,0.35994,0.201898,1,108,108
4.29644,69.2667,3.5371,56.0898,0.266866,0.307649,0.249001,0.327292,0.204444,1,109,109
4.24772,69.4985,3.39198,54.2617,0.258926,0.319439,0.34659,0.290147,0.202502,1,110,110
4.25415,68.2589,3.80968,52.6091,0.273937,0.268631,0.282059,0.252736,0.20188999999999999,1,111,111
4.20809,68.3626,3.77073,53.8083,0.275316,0.281913,0.254905,0.279751,0.204448,1,112,112
4.11992,67.6524,3.40876,52.14,0.270116,0.266426,0.271368,0.301517,0.200198,1,113,113
4.18571,68.2497,3.42847,51.0148,0.268881,0.260921,0.26136,0.282913,0.201571,1,114,114
4.1439,68.2239,3.86634,49.1976,0.273216,0.296722,0.325196,0.331495,0.199637,1,115,115
4.13626,70.2015,3.74639,51.7401,0.268065,0.28115,0.197199,0.305582,0.198944,1,116,116
4.18898,66.4942,3.69019,53.1715,0.245388,0.286198,0.294577,0.311226,0.203496,1,117,117
4.18544,67.9784,3.98481,51.7957,0.244588,0.252767,0.229977,0.329924,0.198306,1,118,118
4.23456,69.9611,3.49331,51.0677,0.255075,0.299783,0.271697,0.297489,0.206133,1,119,119
4.20256,67.5292,3.99776,52.3126,0.254006,0.282275,0.223997,0.28004,0.200376,1,120,120
4.15351,68.1937,3.64325,54.0117,0.279332,0.310659,0.273674,0.344862,0.20435,1,121,121
4.16609,70.1295,3.58902,55.8117,0.29667,0.300672,0.228515,0.314804,0.201072,1,122,122
4.16856,69.8548,3.69802,55.7853,0.291571,0.288913,0.176825,0.310882,0.198223,1,123,123
4.11256,71.0252,3.2405,48.91,0.282926,0.291099,0.363105,0.297798,0.20619,1,124,124
4.14839,68.1511,4.05855,54.1591,0.272185,0.290435,0.327279,0.311383,0.197655,1,125,125
4.12642,68.3003,3.49674,51.4952,0.300068,0.265619,0.369187,0.374268,0.203044,1,126,126
4.14571,66.8405,3.53431,51.151,0.291456,0.249854,0.29715,0.319201,0.200854,1,127,127
4.09813,66.26,3.48035,52.242,0.28309,0.257053,0.37245,0.403958,0.202357,1,128,128
4.05925,66.7187,3.68602,49.7859,0.278476,0.258117,0.436746,0.318406,0.200998,1,129,129
4.05197,67.2255,3.45608,52.7995,0.296591,0.27931,0.397111,0.366189,0.203128,1,130,130
4.07348,69.5268,4.05391,51.8343,0.28408,0.262813,0.278397,0.293922,0.201161,1,131,131
4.07931,70.711,3.94666,51.9294,0.28909,0.271556,0.30887,0.280992,0.200384,1,132,132
