TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma_p,.chain,.iteration,.draw
4.04123,69.0041,4.07622,52.9022,0.255261,0.281608,0.383679,0.31078,0.201499,1,1,1
4.05062,69.3861,4.05226,53.0501,0.255553,0.271542,0.36928,0.304533,0.202549,1,2,2
4.10704,71.5347,3.42798,50.9744,0.25946,0.319735,0.179211,0.319674,0.199698,1,3,3
4.23889,68.447,4.01317,51.3103,0.287388,0.297792,0.237594,0.31324,0.202473,1,4,4
4.22365,68.8343,3.70419,50.661,0.304545,0.267417,0.231891,0.322244,0.206355,1,5,5
4.17371,69.7142,3.94878,49.5994,0.297344,0.264285,0.196512,0.306892,0.199023,1,6,6
4.15769,68.5343,3.74115,48.824,0.301844,0.316544,0.179929,0.332537,0.204121,1,7,7
4.16565,67.6382,3.5058,51.6261,0.286807,0.297698,0.195114,0.283476,0.199611,1,8,8
4.20782,67.9264,3.46272,51.9705,0.298052,0.290291,0.268356,0.363752,0.200304,1,9,9
4.26436,66.2863,4.03591,52.8999,0.312907,0.293856,0.183282,0.267028,0.204852,1,10,10
4.08451,67.5244,4.05052,52.4517,0.274472,0.27716,0.242569,0.291802,0.202123,1,11,11
4.04112,68.2521,3.56514,50.4976,0.272175,0.295106,0.256076,0.330701,0.199139,1,12,12
4.05292,67.5264,3.6549,50.3545,0.260681,0.281161,0.188688,0.306162,0.203755,1,13,13
4.07183,66.9068,3.89637,53.1857,0.277248,0.275935,0.267867,0.281257,0.199483,1,14,14
3.98408,65.8575,3.68491,50.0727,0.295529,0.293368,0.254905,0.326509,0.203216,1,15,15
4.00216,65.8509,3.50157,50.6934,0.302708,0.293531,0.160125,0.257018,0.201845,1,16,16
3.97172,66.5939,3.4702,51.7712,0.306034,0.285928,0.249136,0.277039,0.199685,1,17,17
4.01911,68.2014,3.61869,50.1109,0.306241,0.274779,0.186959,0.3158,0.203103,1,18,18
4.06924,65.4103,3.70504,53.4152,0.267959,0.288947,0.238717,0.287122,0.199882,1,19,19
4.04574,70.3561,3.56463,50.2302,0.281974,0.281595,0.17835,0.308937,0.20544,1,20,20
4.04239,69.9832,3.71259,53.0057,0.288332,0.275897,0.138454,0.318346,0.200897,1,21,21
4.10686,68.7392,4.08542,53.2005,0.269224,0.282238,0.227886,0.323288,0.202778,1,22,22
