TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
4.07579,68.3862,3.66491,52.2339,0.310726,0.270082,0.383187,0.300862,0.203643,1,1,1
4.11406,67.0382,4.52871,57.2622,0.332942,0.263472,0.320695,0.313612,0.198087,1,2,2
4.06929,64.5128,4.42435,53.9229,0.307383,0.281299,0.258113,0.299425,0.203984,1,3,3
4.04585,66.7434,4.21918,53.7513,0.311423,0.290029,0.271718,0.276806,0.20436000000000001,1,4,4
4.10219,67.0509,4.98138,55.8575,0.301192,0.26839,0.418452,0.338221,0.201246,1,5,5
4.07746,66.4742,4.46585,54.6388,0.293591,0.285271,0.367697,0.349407,0.198226,1,6,6
4.12026,66.8579,3.84006,53.9497,0.291681,0.284883,0.39764,0.407177,0.202944,1,7,7
4.12774,72.2408,4.5085,52.8596,0.297233,0.335264,0.335329,0.312101,0.202592,1,8,8
4.0378,69.9019,4.2062,53.3156,0.301102,0.261936,0.355364,0.355578,0.200094,1,9,9
4.05504,69.7238,4.90338,52.3056,0.28618,0.275421,0.37257,0.316173,0.205733,1,10,10
4.00187,70.2134,3.94497,52.5747,0.30021,0.250137,0.32153,0.334157,0.199643,1,11,11
4.10867,66.4834,4.02676,54.4095,0.273022,0.267247,0.264813,0.31976,0.203492,1,12,12
4.06082,69.7466,4.0636,52.502,0.306184,0.253409,0.399609,0.36283,0.197834,1,13,13
4.07232,68.8064,3.9433,54.984,0.313151,0.275447,0.318532,0.265521,0.206708,1,14,14
4.14263,64.8993,4.85798,55.8952,0.299804,0.234587,0.347074,0.338276,0.197554,1,15,15
4.08559,65.3133,4.30203,56.7103,0.295183,0.248212,0.333812,0.271951,0.203502,1,16,16
4.03327,67.6187,3.84426,54.7453,0.297514,0.247276,0.308738,0.29731,0.199028,1,17,17
3.99078,68.9994,4.37901,53.1743,0.298455,0.253891,0.307681,0.298215,0.206324,1,18,18
4.07947,70.1328,3.97993,53.674,0.28394200000000003,0.282802,0.308931,0.336792,0.199891,1,19,19
4.14529,65.4999,4.59818,57.7356,0.286916,0.26336,0.313615,0.324168,0.205167,1,20,20
4.12794,66.4837,4.19454,53.607,0.279974,0.294795,0.349889,0.362091,0.19937,1,21,21
4.10475,66.4876,4.13736,50.2608,0.292022,0.274143,0.306197,0.284505,0.203248,1,22,22
4.17251,67.4555,4.53357,53.1814,0.28288,0.289307,0.429753,0.332934,0.20126,1,23,23
4.13415,69.8791,4.0326,51.0684,0.288405,0.269484,0.2339,0.36282,0.200426,1,24,24
4.07703,69.0444,4.49157,53.257,0.295508,0.276035,0.285451,0.32835,0.202813,1,25,25
4.11443,70.804,4.41666,51.3933,0.292681,0.285562,0.447899,0.394409,0.199393,1,26,26
4.11577,68.4632,4.6372,57.7896,0.31915,0.287819,0.430127,0.330882,0.199497,1,27,27
4.13509,67.8149,4.60965,53.9264,0.301889,0.272571,0.528098,0.420664,0.1985,1,28,28
