TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma_p,.chain,.iteration,.draw
3.96598,64.442,4.07653,53.1979,0.289147,0.260469,0.471857,0.343142,0.20166,1,1,1
3.98242,65.2703,3.84346,50.1626,0.305077,0.252274,0.37247,0.257325,0.192714,1,2,2
3.89572,63.8224,4.15684,53.532,0.310064,0.280036,0.434095,0.276205,0.197526,1,3,3
3.9327,64.041,3.93188,53.9822,0.300488,0.293696,0.437877,0.31473,0.187513,1,4,4
3.92681,64.3082,4.30273,56.839,0.332736,0.280246,0.476565,0.314814,0.208464,1,5,5
3.91073,65.0378,3.74561,56.196,0.341781,0.241597,0.373787,0.316679,0.187315,1,6,6
3.97982,65.9542,4.32519,51.7921,0.333974,0.250693,0.379488,0.274314,0.200645,1,7,7
3.98339,66.0716,4.33604,51.7129,0.33273,0.252189,0.382142,0.278769,0.200084,1,8,8
3.85745,67.1565,3.95175,54.1859,0.345488,0.235827,0.32666,0.335007,0.192119,1,9,9
3.99082,67.3062,3.80985,52.1115,0.322657,0.249451,0.395007,0.293004,0.193853,1,10,10
4.01837,66.9128,4.22277,52.838,0.284474,0.251917,0.442424,0.303247,0.200871,1,11,11
3.97234,67.4172,3.7357,47.321,0.273984,0.235177,0.290618,0.293068,0.198617,1,12,12
3.95596,65.869,3.88325,50.7179,0.285172,0.259174,0.286795,0.27212,0.19361,1,13,13
4.10473,70.0382,3.62233,56.8859,0.286134,0.271566,0.368861,0.305083,0.1953,1,14,14
4.16752,66.9949,3.84188,53.2293,0.253217,0.248837,0.4602,0.301569,0.196072,1,15,15
4.17711,67.3551,3.8024,54.0428,0.267116,0.25177,0.458932,0.370854,0.194916,1,16,16
4.14129,67.9082,4.12488,52.4255,0.265257,0.259132,0.438134,0.322688,0.193901,1,17,17
4.15177,69.5564,4.06224,50.9477,0.258803,0.283909,0.358171,0.309443,0.197575,1,18,18
4.18503,68.4003,4.06596,54.2586,0.317558,0.239648,0.447561,0.24512,0.196616,1,19,19
4.16567,65.5608,3.84909,49.7149,0.311759,0.290864,0.332349,0.305389,0.191779,1,20,20
4.14664,64.613,3.69876,52.8088,0.29912300000000003,0.296086,0.385291,0.303849,0.190377,1,21,21
4.11341,64.2866,3.77406,52.2581,0.323952,0.318535,0.346582,0.298533,0.193792,1,22,22
4.12594,67.2097,3.98294,55.2797,0.322901,0.320092,0.280659,0.338466,0.200717,1,23,23
3.98769,67.3962,3.71014,53.8302,0.312274,0.27288,0.386516,0.28109,0.19072,1,24,24
3.99014,67.5494,3.69374,53.7016,0.308616,0.273336,0.368898,0.275057,0.191417,1,25,25
4.05427,66.6483,3.6873,51.7327,0.305165,0.271308,0.345108,0.261085,0.191062,1,26,26
4.0719900000000004,69.5394,4.01797,56.0133,0.294963,0.28501,0.367686,0.230993,0.202154,1,27,27
4.06505,68.7407,3.98566,54.4936,0.292358,0.275757,0.350439,0.231963,0.200513,1,28,28
4.07914,68.0577,4.10948,51.8492,0.270185,0.307206,0.408409,0.296735,0.186017,1,29,29
4.06132,68.4969,3.9244,51.4144,0.277459,0.304152,0.325216,0.294394,0.190002,1,30,30
4.08104,68.9233,4.12222,52.2436,0.275968,0.303983,0.42996,0.349487,0.193426,1,31,31
4.12058,67.3023,4.05182,54.9154,0.245106,0.273934,0.318775,0.290267,0.194681,1,32,32
4.14387,67.5436,4.38198,52.125,0.261779,0.288936,0.358106,0.298482,0.19246,1,33,33
4.0659,67.0543,3.5391,54.2656,0.267971,0.270473,0.463663,0.250715,0.201325,1,34,34
3.94197,70.9413,3.74246,49.2552,0.301858,0.24305,0.355986,0.265898,0.197974,1,35,35
4.07555,70.4011,4.46552,55.1347,0.282129,0.249792,0.492947,0.251006,0.199985,1,36,36
4.02233,68.9894,4.06872,57.9478,0.285883,0.23906,0.409605,0.285172,0.190364,1,37,37
4.03408,67.2705,4.20408,52.9114,0.283112,0.257759,0.408108,0.289313,0.19827,1,38,38
3.94186,67.231,3.78971,55.8474,0.292754,0.244178,0.385805,0.282071,0.188317,1,39,39
3.95536,69.8026,4.31314,52.7268,0.280819,0.272761,0.430036,0.292517,0.205387,1,40,40
3.96465,71.4284,4.61803,54.1447,0.275227,0.271763,0.386762,0.251683,0.196706,1,41,41
3.95004,71.6014,3.94029,55.3561,0.264153,0.236964,0.268378,0.276721,0.201031,1,42,42
3.92695,72.0251,3.80046,53.3126,0.260307,0.258968,0.309536,0.229902,0.194825,1,43,43
4.0479,70.5385,4.09529,56.8246,0.270507,0.253866,0.314402,0.282854,0.209491,1,44,44
3.98213,70.8871,3.89868,53.6035,0.260477,0.259294,0.418326,0.292809,0.192139,1,45,45
3.96648,71.1928,3.66368,55.0068,0.267484,0.28278,0.316167,0.269766,0.199387,1,46,46
3.92242,69.5778,3.85489,54.5699,0.275282,0.261518,0.435018,0.253211,0.19342,1,47,47
3.98257,68.7116,3.85605,53.2099,0.270186,0.246842,0.386181,0.246159,0.20178,1,48,48
4.04525,66.7378,4.29817,54.5636,0.264586,0.237051,0.50571,0.273794,0.194054,1,49,49
4.05799,66.5261,4.13218,56.8583,0.233778,0.250224,0.437592,0.246915,0.194566,1,50,50
4.01189,67.3319,3.49977,52.3922,0.259629,0.258021,0.500982,0.280701,0.197936,1,51,51
4.04128,68.3546,3.39411,52.2979,0.260199,0.249345,0.447167,0.250106,0.198486,1,52,52
4.07641,66.1712,3.83573,55.0127,0.2773,0.247462,0.482499,0.242148,0.191588,1,53,53
3.9643,68.0423,3.60315,55.1345,0.262271,0.251086,0.437674,0.250837,0.20132,1,54,54
4.01876,67.0077,3.74214,52.5895,0.248942,0.255165,0.349731,0.302004,0.193367,1,55,55
4.10144,66.1447,4.01825,54.7588,0.249119,0.250294,0.495645,0.257099,0.195527,1,56,56
4.01455,65.97,3.80752,51.1753,0.269384,0.263052,0.367672,0.246996,0.199239,1,57,57
3.99643,66.4186,3.97648,52.5877,0.273595,0.251004,0.292081,0.333156,0.191179,1,58,58
3.9923,68.0783,3.82445,47.959,0.285123,0.272673,0.304203,0.302224,0.202437,1,59,59
3.91936,70.0577,3.82135,54.145,0.287711,0.261298,0.427954,0.254078,0.194837,1,60,60
3.75906,70.9185,3.39278,55.472,0.322755,0.241482,0.341843,0.285305,0.198273,1,61,61
3.82179,70.329,3.27598,54.8138,0.299476,0.232669,0.336199,0.281833,0.194245,1,62,62
4.14905,66.2855,3.9366,53.9327,0.294725,0.274835,0.521289,0.260228,0.200872,1,63,63
4.07418,66.005,3.58688,56.5439,0.269525,0.274003,0.44031,0.265758,0.1938,1,64,64
4.06747,66.2858,3.47965,54.3112,0.270478,0.25544,0.366782,0.304193,0.196394,1,65,65
4.02618,66.0803,3.26879,52.5642,0.267126,0.252387,0.393885,0.292652,0.195541,1,66,66
3.97533,65.131,3.78516,56.999,0.276394,0.25221,0.350392,0.260956,0.200547,1,67,67
