TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma_p,.chain,.iteration,.draw
4.0286,67.4598,3.55275,53.1643,0.277111,0.248007,0.307329,0.290934,0.201259,1,1,1
4.06628,67.8991,3.85789,53.8452,0.289679,0.236608,0.469701,0.258999,0.191063,1,2,2
4.04255,67.55,3.98463,55.167,0.292908,0.247639,0.537346,0.28169,0.198083,1,3,3
4.05126,66.5346,3.67581,50.8577,0.28983,0.240962,0.496919,0.210786,0.192208,1,4,4
3.91661,67.8141,3.7941,53.4487,0.310701,0.267715,0.458475,0.321452,0.197319,1,5,5
3.90521,67.6281,3.69368,54.0724,0.300776,0.272708,0.408259,0.24466,0.193203,1,6,6
4.00269,68.4212,4.4037,58.8961,0.321651,0.259669,0.434662,0.303931,0.199125,1,7,7
4.00416,67.9369,3.712,50.7235,0.300815,0.219908,0.457644,0.3291,0.194669,1,8,8
4.08479,67.4457,3.96301,49.0239,0.293565,0.234705,0.418228,0.270686,0.197485,1,9,9
3.8661,68.2865,3.73777,52.4012,0.307834,0.239472,0.342187,0.254239,0.193232,1,10,10
3.95983,68.6397,3.55546,50.513,0.305149,0.246008,0.298172,0.332247,0.202342,1,11,11
4.04715,65.1058,4.03389,50.8126,0.302956,0.265926,0.324845,0.260691,0.193528,1,12,12
4.18072,67.0676,4.22552,50.8971,0.266008,0.287354,0.320172,0.286926,0.205027,1,13,13
4.18939,66.651,3.75302,54.5398,0.26190600000000003,0.282952,0.302707,0.278841,0.195845,1,14,14
4.25241,68.1834,4.05434,52.3099,0.254913,0.263824,0.364355,0.249743,0.195723,1,15,15
4.12591,68.6397,4.18891,55.4315,0.254807,0.26333,0.30434,0.27131,0.200068,1,16,16
4.15073,69.8678,3.97103,57.7785,0.245697,0.257156,0.321401,0.249456,0.199045,1,17,17
4.11232,67.0546,3.78742,54.1514,0.291038,0.252022,0.386192,0.326383,0.197816,1,18,18
4.05441,66.511,3.86712,56.1988,0.25396,0.255353,0.398833,0.247326,0.193716,1,19,19
4.1328,67.9966,3.5698,52.9609,0.245585,0.265148,0.311928,0.230049,0.200447,1,20,20
4.13907,66.6615,3.86072,54.031,0.251668,0.248819,0.321123,0.348049,0.201678,1,21,21
4.15107,67.5855,3.4642,51.3708,0.254697,0.277913,0.237862,0.315116,0.19826,1,22,22
4.16985,67.0156,3.53989,48.7662,0.252055,0.268392,0.381786,0.303993,0.191867,1,23,23
4.17026,65.5628,3.74519,52.0613,0.250259,0.280245,0.359587,0.328892,0.197532,1,24,24
4.17001,65.5455,4.02137,52.5053,0.270446,0.260662,0.315223,0.359282,0.19363,1,25,25
4.17111,66.5482,3.40353,54.3701,0.289085,0.298929,0.346945,0.320548,0.193301,1,26,26
4.13085,66.9364,3.73781,57.5188,0.287491,0.300063,0.361678,0.307621,0.198276,1,27,27
4.10154,67.7919,3.75627,51.5572,0.28577,0.247246,0.348619,0.24276,0.197401,1,28,28
4.11415,68.2051,3.9035,51.7843,0.292153,0.241242,0.368002,0.234669,0.200706,1,29,29
4.06648,67.452,3.82546,51.801,0.296577,0.259095,0.336048,0.257194,0.195562,1,30,30
