TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
4.06844,69.5648,3.77161,56.3509,0.296602,0.287469,0.322032,0.321924,0.194164,1,1,1
4.17387,66.9669,4.22351,51.6224,0.286435,0.280085,0.379395,0.344785,0.202158,1,2,2
4.0612,69.0288,3.88116,60.1764,0.308709,0.281475,0.342531,0.28052,0.193327,1,3,3
4.08693,68.4862,3.89534,56.4078,0.307727,0.280405,0.36378,0.245304,0.196823,1,4,4
4.03045,67.8057,3.87449,58.0666,0.315788,0.304544,0.312706,0.271504,0.19942,1,5,5
4.05289,68.8043,4.04734,56.9983,0.33137,0.327418,0.331814,0.264164,0.198356,1,6,6
4.09176,69.6374,3.84665,52.9502,0.272958,0.277121,0.341824,0.327973,0.202259,1,7,7
4.09588,68.3714,4.08715,55.0682,0.302343,0.263207,0.339005,0.26298,0.200386,1,8,8
4.26469,67.7945,3.92188,56.948,0.265167,0.261454,0.416289,0.294459,0.195003,1,9,9
4.27555,67.4772,4.26328,52.6775,0.259671,0.251694,0.462096,0.263637,0.19315,1,10,10
4.22023,67.4957,4.26418,55.6683,0.288299,0.27641,0.340921,0.298962,0.197483,1,11,11
4.22814,68.153,3.83846,54.5791,0.272833,0.267901,0.441489,0.316639,0.192702,1,12,12
4.18019,68.5374,3.67908,56.8021,0.288679,0.255257,0.373563,0.345273,0.202055,1,13,13
4.19705,68.2165,3.79855,57.1619,0.288005,0.256179,0.328763,0.333658,0.202257,1,14,14
4.20713,67.977,3.57132,53.3882,0.271366,0.267247,0.316768,0.331502,0.194788,1,15,15
4.22959,68.0552,3.78742,55.4366,0.271774,0.260775,0.344134,0.339439,0.195357,1,16,16
4.13142,69.349,3.78368,58.7298,0.308266,0.269698,0.286566,0.513902,0.20235,1,17,17
4.20874,69.9994,4.18325,56.8068,0.307198,0.259191,0.397862,0.317376,0.195677,1,18,18
4.17325,69.4622,4.4459,53.1327,0.279,0.251885,0.40322,0.334827,0.201873,1,19,19
4.23893,68.1057,3.80831,54.632,0.270551,0.259292,0.35771,0.324938,0.195137,1,20,20
4.25274,67.7946,4.00288,53.1503,0.269125,0.276187,0.344466,0.211532,0.19589,1,21,21
4.20028,70.1516,3.91631,55.1189,0.306068,0.271992,0.36032,0.28903,0.203419,1,22,22
4.23789,68.3944,3.80443,53.4958,0.27059,0.251766,0.349927,0.251403,0.200809,1,23,23
4.12837,68.7959,3.52181,59.1265,0.285234,0.256208,0.361723,0.299431,0.206122,1,24,24
4.09353,69.1315,3.97041,60.4538,0.260538,0.25384,0.453035,0.318844,0.199689,1,25,25
4.13359,66.3641,3.47392,56.2844,0.253785,0.272275,0.39512,0.266428,0.200087,1,26,26
4.15739,64.6845,3.67555,54.8781,0.261211,0.269502,0.29967,0.344915,0.19964,1,27,27
4.11101,66.9825,4.3407,55.1072,0.258249,0.253454,0.466039,0.271781,0.202744,1,28,28
4.10963,65.8697,3.67102,52.9973,0.255195,0.274599,0.363218,0.309724,0.198681,1,29,29
4.13344,66.1082,4.3488,57.1271,0.265559,0.272998,0.456928,0.282699,0.199622,1,30,30
4.1007,66.6984,3.83004,55.4279,0.262404,0.282584,0.460364,0.307968,0.200887,1,31,31
4.05546,65.7306,4.11752,57.8629,0.27056,0.255294,0.40776,0.354428,0.195622,1,32,32
4.07466,65.1347,3.60539,58.8081,0.244504,0.273693,0.33374,0.374254,0.196406,1,33,33
4.0622,63.8448,3.99296,58.829,0.286912,0.254488,0.42785,0.367203,0.196862,1,34,34
4.08518,64.4849,3.80886,57.1738,0.273178,0.286214,0.330092,0.348409,0.202907,1,35,35
4.11699,65.7746,3.82625,57.6031,0.286452,0.282611,0.327551,0.308374,0.198573,1,36,36
4.20123,65.0956,3.95295,54.6135,0.26662,0.272945,0.302953,0.310172,0.195795,1,37,37
4.111,66.5527,4.186,53.7343,0.270338,0.268524,0.375162,0.351313,0.202502,1,38,38
4.23737,64.8215,4.41877,56.8324,0.276994,0.271812,0.437848,0.296842,0.206255,1,39,39
4.14608,65.4503,4.4232,60.5357,0.284815,0.257575,0.371927,0.332684,0.197071,1,40,40
4.20066,66.2906,3.70205,55.9311,0.307722,0.291824,0.374921,0.229401,0.202401,1,41,41
4.06587,67.5039,3.63181,54.3099,0.281336,0.264706,0.36695,0.317612,0.195992,1,42,42
3.98943,69.5376,3.76858,56.3449,0.297108,0.233524,0.495073,0.261027,0.203713,1,43,43
3.99201,68.8056,3.55563,57.0657,0.298485,0.243383,0.39371,0.254703,0.200867,1,44,44
4.01554,69.9105,3.8166,54.6796,0.275593,0.239578,0.334685,0.27758,0.197145,1,45,45
3.99233,69.4313,4.16672,57.4378,0.295726,0.242259,0.337016,0.292625,0.199298,1,46,46
3.88592,70.7388,3.61693,57.0327,0.298606,0.252147,0.370638,0.288432,0.19848,1,47,47
3.91163,69.9471,3.71738,58.8206,0.303713,0.26857,0.358221,0.367429,0.196406,1,48,48
3.85356,69.7323,3.6167,59.9479,0.295485,0.281612,0.362979,0.380679,0.200352,1,49,49
4.01117,67.8051,4.01212,56.7766,0.281569,0.285931,0.372067,0.341922,0.196801,1,50,50
3.91132,67.5562,3.97391,58.4709,0.282523,0.294314,0.4261,0.331681,0.197169,1,51,51
3.96343,65.0269,3.86044,54.0066,0.271986,0.283155,0.390593,0.344486,0.201175,1,52,52
3.94049,66.6522,3.87441,55.3737,0.292406,0.305287,0.501113,0.374606,0.19570100000000001,1,53,53
3.95369,66.4808,4.0527,55.6148,0.282244,0.299225,0.503781,0.383391,0.196105,1,54,54
3.89804,66.1692,3.56319,55.5809,0.282266,0.294053,0.418453,0.397031,0.199038,1,55,55
3.96977,66.3427,3.61085,56.2863,0.274312,0.284089,0.425986,0.356756,0.197443,1,56,56
3.97679,66.6282,3.63244,56.4391,0.274711,0.285951,0.480388,0.342271,0.197297,1,57,57
3.98737,69.0672,3.58181,53.2763,0.254714,0.29506,0.333368,0.360932,0.203166,1,58,58
4.09175,69.0446,4.00928,51.3935,0.245869,0.282534,0.450018,0.320577,0.201233,1,59,59
4.10269,67.8592,3.81435,54.4149,0.257378,0.270883,0.298143,0.344881,0.199865,1,60,60
4.12493,68.1197,3.74488,48.9561,0.246915,0.274869,0.299377,0.304349,0.201617,1,61,61
4.0165,68.954,3.8863,57.2226,0.273364,0.280934,0.223538,0.304777,0.202137,1,62,62
4.07252,68.4716,3.72255,52.8367,0.255303,0.274273,0.230439,0.399727,0.198857,1,63,63
3.97675,68.3932,3.79515,54.1593,0.279505,0.26682,0.374333,0.375935,0.195903,1,64,64
3.9491,67.0135,4.00353,57.425,0.274542,0.28349800000000003,0.213623,0.390749,0.193241,1,65,65
4.10991,68.9186,3.89585,51.6158,0.270134,0.275686,0.289485,0.314653,0.19225,1,66,66
4.11297,66.3519,3.81463,53.6719,0.240889,0.289512,0.301525,0.339928,0.195754,1,67,67
4.05563,66.87,3.92456,52.4717,0.273002,0.277904,0.321261,0.351868,0.203499,1,68,68
4.13132,67.0938,4.17678,52.0443,0.278481,0.268057,0.410748,0.280663,0.193612,1,69,69
4.13374,67.7011,4.30012,52.2971,0.288076,0.262034,0.375561,0.283748,0.197866,1,70,70
4.0844,66.7316,4.06007,50.7646,0.289022,0.255595,0.317231,0.267577,0.192935,1,71,71
4.04925,69.0258,3.78415,53.1631,0.286733,0.243569,0.319714,0.330347,0.207318,1,72,72
4.00803,68.6446,4.06837,56.5465,0.333625,0.231994,0.313127,0.370566,0.196172,1,73,73
4.04643,70.6588,3.82152,51.2797,0.355302,0.232222,0.231645,0.320049,0.204101,1,74,74
4.0538,69.213,3.8777,56.7151,0.353722,0.227988,0.225702,0.297092,0.204943,1,75,75
4.06757,70.4969,4.04575,51.953,0.303548,0.252544,0.403386,0.279858,0.193097,1,76,76
4.05782,69.5722,3.85064,55.0967,0.305101,0.260163,0.319626,0.284958,0.201204,1,77,77
4.02565,69.329,3.74917,55.502,0.31102,0.26716,0.307073,0.267751,0.200322,1,78,78
4.04493,71.0608,3.89599,53.968,0.320711,0.271873,0.247103,0.326237,0.204274,1,79,79
4.03168,68.9867,4.17151,56.9455,0.292498,0.262697,0.226558,0.377308,0.195517,1,80,80
4.04134,70.3361,3.62428,52.7729,0.283863,0.257782,0.241278,0.299612,0.196142,1,81,81
4.07221,72.7618,4.21774,52.0809,0.304203,0.234138,0.424306,0.403102,0.199575,1,82,82
4.05161,72.1154,3.98506,52.6725,0.2955,0.243142,0.376695,0.376794,0.202306,1,83,83
3.9934,72.8326,3.8599,51.3499,0.295658,0.247157,0.390078,0.351354,0.20142,1,84,84
4.01425,72.5189,3.87181,51.4115,0.294751,0.246007,0.387745,0.35997,0.200506,1,85,85
4.10337,70.4413,3.98477,48.565,0.256019,0.254854,0.312521,0.267759,0.197465,1,86,86
4.00071,70.9282,3.88362,52.3372,0.25772,0.26327,0.325208,0.300458,0.200484,1,87,87
3.97501,72.5436,3.81042,53.0813,0.262765,0.266544,0.343297,0.310535,0.197816,1,88,88
4.01549,73.1225,3.80891,58.9677,0.271761,0.284407,0.261414,0.29573700000000003,0.199302,1,89,89
3.99122,71.699700000000007,4.00177,54.5903,0.275841,0.289386,0.389427,0.265003,0.197671,1,90,90
4.0524,71.0565,3.81146,55.4012,0.269773,0.282683,0.322591,0.257313,0.200062,1,91,91
4.01287,71.6929,3.99064,57.4448,0.298528,0.284708,0.332838,0.288268,0.199369,1,92,92
4.14269,71.7117,4.08306,52.5517,0.275053,0.299242,0.331234,0.258606,0.201622,1,93,93
4.14165,71.1573,3.99324,53.162,0.273718,0.267896,0.385697,0.298553,0.199514,1,94,94
4.19636,72.0222,3.86341,49.7452,0.263601,0.301148,0.33982,0.279341,0.20266,1,95,95
4.19095,71.9039,3.69147,48.52,0.265407,0.284983,0.308803,0.33249,0.206759,1,96,96
4.17109,70.7242,3.82879,50.7051,0.256021,0.312803,0.337241,0.322325,0.193057,1,97,97
4.24374,70.0895,4.10436,48.4683,0.257228,0.297728,0.323316,0.345924,0.206034,1,98,98
4.17991,72.215,4.3415,50.8584,0.258396,0.303864,0.2746,0.341003,0.199238,1,99,99
4.10911,71.8611,4.48969,48.0391,0.262863,0.327693,0.379,0.377208,0.195771,1,100,100
4.17639,72.6688,4.42943,50.1854,0.256208,0.314835,0.334369,0.353268,0.197938,1,101,101
4.12048,69.6182,4.10843,55.3468,0.282207,0.294612,0.320544,0.306052,0.200463,1,102,102
4.1684,69.0763,4.00425,52.1189,0.27732,0.286573,0.29084,0.298402,0.199456,1,103,103
4.20764,69.2504,4.05949,52.6709,0.287121,0.280954,0.334205,0.360876,0.202816,1,104,104
4.21471,69.2827,3.8159,51.47,0.269806,0.267079,0.349346,0.32217,0.20048,1,105,105
4.16028,69.9236,3.70193,54.8123,0.266289,0.291782,0.319265,0.331116,0.196361,1,106,106
4.24364,68.9402,4.09101,52.6778,0.276485,0.342185,0.304371,0.244417,0.210805,1,107,107
4.15129,69.9662,4.01461,53.6678,0.27021,0.316983,0.353244,0.265868,0.198409,1,108,108
4.25292,71.9026,4.208,53.9001,0.263056,0.31558,0.318597,0.265041,0.20155,1,109,109
4.2279,70.4602,3.79398,55.5503,0.293464,0.27985,0.323997,0.247839,0.198859,1,110,110
4.32035,69.3378,3.80491,54.6714,0.253966,0.293077,0.311148,0.308413,0.201038,1,111,111
