TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma_p,.chain,.iteration,.draw
4.07224,70.7733,0.95296,0.283503,0.29793,0.309891,0.200375,1,1,1
4.08979,69.8802,0.972482,0.284134,0.278661,0.38324,0.195084,1,2,2
4.12199,70.7732,1.00173,0.278531,0.260216,0.357986,0.194921,1,3,3
4.13506,72.039,0.929934,0.277888,0.29074,0.285333,0.203739,1,4,4
4.10684,73.8609,1.05955,0.305957,0.288512,0.363727,0.200983,1,5,5
3.96973,74.8973,1.00971,0.28296,0.28332,0.307339,0.198272,1,6,6
3.94999,74.4646,0.977648,0.275629,0.303844,0.34893,0.19967,1,7,7
3.97612,74.2146,1.04089,0.280191,0.276213,0.298477,0.197816,1,8,8
3.89891,70.9412,0.942223,0.288231,0.308604,0.287559,0.200522,1,9,9
3.87718,70.8141,0.999794,0.318604,0.281183,0.315465,0.196406,1,10,10
3.9243,71.198,0.999221,0.31041,0.264939,0.29896,0.199854,1,11,11
3.90257,70.6517,1.0082,0.314336,0.304571,0.318932,0.19848,1,12,12
3.91665,70.2316,0.980817,0.314254,0.316406,0.316519,0.198788,1,13,13
3.8911,67.9687,0.98606799999999994,0.290834,0.267917,0.283413,0.200004,1,14,14
3.88905,66.7964,0.985219,0.285222,0.272687,0.306682,0.195717,1,15,15
3.96436,68.7653,1.04457,0.264935,0.294034,0.355273,0.20135,1,16,16
3.94325,69.754,1.02594,0.263879,0.289709,0.298618,0.19611,1,17,17
3.90256,68.7077,1.04314,0.291291,0.303272,0.348889,0.201041,1,18,18
3.98359,68.9766,0.98472,0.290639,0.278248,0.341636,0.196469,1,19,19
3.98875,70.9601,1.01668,0.291765,0.293618,0.337184,0.203485,1,20,20
3.97393,69.8586,0.983443,0.294383,0.280009,0.298476,0.194002,1,21,21
3.99384,69.7546,0.992399,0.28766,0.27023,0.277675,0.200757,1,22,22
3.99716,69.8823,0.984545,0.284235,0.27006,0.271114,0.201115,1,23,23
3.87607,69.0312,0.990899,0.294416,0.276255,0.322779,0.197618,1,24,24
3.882,69.161,1.00763,0.290086,0.247097,0.325464,0.198917,1,25,25
3.82446,70.1147,0.975133,0.292601,0.297885,0.30626,0.19997500000000001,1,26,26
3.81163,69.7673,0.962647,0.307315,0.257963,0.259595,0.199035,1,27,27
3.81317,70.4501,0.964296,0.302078,0.259481,0.301884,0.197134,1,28,28
3.81019,70.6475,0.935316,0.292886,0.262428,0.336483,0.200505,1,29,29
3.84182,69.4105,0.993422,0.303262,0.266334,0.333534,0.200532,1,30,30
3.8381,69.0063,0.932108,0.295836,0.299723,0.363742,0.197778,1,31,31
3.86785,68.8507,0.931191,0.299871,0.290061,0.315515,0.196245,1,32,32
3.91754,68.986,0.913742,0.280491,0.297716,0.360687,0.199079,1,33,33
3.79301,69.6663,1.02281,0.29851,0.312237,0.305967,0.195687,1,34,34
3.8108,70.0271,0.996726,0.294439,0.307588,0.359903,0.198082,1,35,35
3.83187,70.4782,0.928529,0.287093,0.311595,0.357964,0.198736,1,36,36
3.88857,71.137,0.935181,0.285103,0.306535,0.367292,0.201017,1,37,37
3.81559,70.5573,0.895926,0.280306,0.28534,0.369517,0.197506,1,38,38
3.8127,70.8315,0.97082,0.275252,0.286889,0.330039,0.19913,1,39,39
3.84124,70.0247,0.97283,0.289185,0.255191,0.337385,0.195835,1,40,40
3.79404,69.9757,0.994394,0.291858,0.277307,0.313586,0.198168,1,41,41
3.8366,71.5234,0.946455,0.284847,0.25573,0.308555,0.198749,1,42,42
3.84415,72.8774,0.924251,0.292711,0.282083,0.259509,0.193722,1,43,43
3.86005,72.2443,1.03907,0.271009,0.255638,0.317637,0.203508,1,44,44
3.83359,73.775,0.975677,0.288139,0.300394,0.299366,0.194793,1,45,45
3.80252,74.2295,0.970056,0.29445,0.288503,0.28498,0.196638,1,46,46
