TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma_p,.chain,.iteration,.draw
3.8563,68.4839,0.919963,0.326857,0.260181,0.325477,0.198861,1,1,1
3.92586,69.488,1.01229,0.320033,0.271818,0.348306,0.196593,1,2,2
3.89741,68.7763,0.988134,0.326307,0.278181,0.315429,0.198292,1,3,3
3.89722,68.9695,1.00078,0.326348,0.282938,0.337262,0.196679,1,4,4
3.94138,70.3093,1.00493,0.296213,0.277077,0.340034,0.201963,1,5,5
3.96802,70.2519,0.978491,0.308802,0.271338,0.369878,0.199621,1,6,6
3.99276,68.4776,0.963529,0.311897,0.278007,0.334693,0.198187,1,7,7
3.99968,70.4703,0.998757,0.298675,0.296023,0.336931,0.198071,1,8,8
3.906,71.182,0.970995,0.306809,0.30555,0.315507,0.199868,1,9,9
4.02155,72.3559,1.01694,0.311409,0.277367,0.36494,0.199565,1,10,10
4.0052,69.916,0.993048,0.306742,0.265892,0.352733,0.198434,1,11,11
4.04804,70.2848,0.968485,0.282039,0.271272,0.33907,0.199038,1,12,12
4.07251,71.5165,1.01114,0.287264,0.278809,0.346133,0.198419,1,13,13
4.04128,70.8154,0.990755,0.287584,0.276176,0.31328,0.194142,1,14,14
4.0413,68.667,0.978495,0.2945,0.271374,0.289346,0.202512,1,15,15
4.02713,68.2007,0.976075,0.302227,0.272617,0.341859,0.198406,1,16,16
4.12628,68.5785,0.987516,0.294182,0.277006,0.336995,0.199679,1,17,17
4.13655,71.0334,0.951349,0.295841,0.289347,0.272799,0.197061,1,18,18
4.17359,69.7773,0.925786,0.322001,0.277648,0.314095,0.200131,1,19,19
4.09497,69.448,0.937567,0.315687,0.290944,0.328358,0.196087,1,20,20
4.04267,69.8485,0.968619,0.313238,0.314348,0.319336,0.198373,1,21,21
4.0016,71.2258,0.979448,0.278605,0.288311,0.332597,0.1978,1,22,22
4.0593,69.3653,0.979208,0.274275,0.283986,0.336516,0.197897,1,23,23
4.17682,69.0514,0.977731,0.293544,0.282716,0.27748,0.199465,1,24,24
4.18049,68.0959,0.984867,0.291885,0.266052,0.334808,0.205288,1,25,25
4.13907,67.6439,1.00134,0.288762,0.285337,0.329313,0.200289,1,26,26
4.15521,68.0815,0.999458,0.276594,0.29268,0.318011,0.203128,1,27,27
4.20145,67.3402,0.97797,0.290635,0.291513,0.312073,0.195059,1,28,28
4.2177,69.3552,0.928898,0.287935,0.264236,0.331224,0.202846,1,29,29
4.21668,68.5075,0.998123,0.310434,0.27274,0.328767,0.19249,1,30,30
4.13724,70.8014,0.992184,0.287221,0.287917,0.364353,0.197034,1,31,31
4.12738,71.2521,1.01534,0.290822,0.260019,0.343556,0.199144,1,32,32
4.05377,70.2431,0.972825,0.3014,0.26311,0.35837,0.19748,1,33,33
4.11669,71.8855,1.02522,0.299993,0.26996,0.327999,0.200337,1,34,34
4.07115,70.6922,0.981702,0.280707,0.254019,0.424293,0.196931,1,35,35
4.08362,70.9777,1.02158,0.275778,0.275279,0.349849,0.197499,1,36,36
4.0776,69.9745,1.02849,0.281371,0.251615,0.293421,0.199243,1,37,37
4.0983,67.1807,1.01891,0.276729,0.262188,0.288979,0.197556,1,38,38
