TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma_p,.chain,.iteration,.draw
4.08278,69.1811,1.02382,0.318419,0.239599,0.336366,0.195239,1,1,1
4.07703,71.3569,1.10212,0.28879,0.252426,0.366346,0.188506,1,2,2
4.05945,70.5573,1.0654,0.286692,0.245644,0.331967,0.192807,1,3,3
4.1543,70.6505,1.04564,0.283269,0.260821,0.358792,0.18842,1,4,4
4.09694,70.0577,1.07034,0.278031,0.307639,0.346815,0.198327,1,5,5
4.09492,68.4435,1.04249,0.282984,0.291357,0.329907,0.197967,1,6,6
4.09444,69.1311,1.04863,0.285794,0.293352,0.313588,0.19271,1,7,7
4.11567,69.7938,0.983777,0.271139,0.297707,0.342144,0.195289,1,8,8
4.10119,70.1635,0.988859,0.270182,0.286163,0.325244,0.193499,1,9,9
4.04297,72.1201,0.959839,0.285408,0.266302,0.296714,0.194215,1,10,10
4.03517,71.9904,0.974135,0.279831,0.249255,0.334425,0.195857,1,11,11
4.09765,71.6115,1.0417,0.312381,0.282431,0.312424,0.19331,1,12,12
4.08193,73.2252,1.06758,0.262179,0.230621,0.364469,0.197455,1,13,13
4.10036,72.8981,1.05942,0.252392,0.227304,0.346143,0.197917,1,14,14
4.02735,70.263,0.964301,0.294894,0.280989,0.311082,0.189321,1,15,15
4.02477,71.5173,0.98536,0.289513,0.27199,0.309941,0.19429,1,16,16
4.03947,72.5858,1.00785,0.301992,0.27595,0.279326,0.193363,1,17,17
4.02607,72.1571,1.04538,0.289693,0.266281,0.298335,0.192996,1,18,18
4.12975,72.3533,0.978562,0.298775,0.265064,0.317887,0.196275,1,19,19
3.94732,72.1583,0.937755,0.287111,0.273728,0.303358,0.192781,1,20,20
3.94518,70.724,0.96852,0.292007,0.276999,0.318281,0.192985,1,21,21
3.99483,71.5272,1.04137,0.283616,0.269789,0.356787,0.188737,1,22,22
3.95187,67.4901,1.05363,0.297032,0.244498,0.367018,0.198368,1,23,23
3.84635,69.6122,1.00692,0.33131,0.280048,0.35354,0.188517,1,24,24
3.84114,69.2297,0.98938,0.330366,0.279548,0.287785,0.190966,1,25,25
3.86282,73.3501,1.01975,0.315145,0.28608,0.339682,0.196669,1,26,26
3.86927,71.4003,1.03699,0.31555,0.322253,0.325414,0.189443,1,27,27
3.88254,69.3869,1.01513,0.30778,0.282526,0.331771,0.190691,1,28,28
3.79835,68.258,1.01522,0.290691,0.283416,0.381895,0.186926,1,29,29
3.91637,70.7014,1.01659,0.29743000000000003,0.275668,0.336757,0.199537,1,30,30
3.93772,68.1657,1.01108,0.305057,0.27565,0.326072,0.185051,1,31,31
4.02449,71.0173,1.03653,0.333094,0.32479,0.363161,0.193569,1,32,32
3.98177,69.5439,0.962971,0.333076,0.29083,0.388339,0.195434,1,33,33
3.89153,71.3474,0.974576,0.32553,0.27809,0.316492,0.196109,1,34,34
3.96022,68.8992,1.02884,0.306055,0.262594,0.365856,0.186946,1,35,35
3.9733,68.6927,1.02296,0.276623,0.291492,0.308777,0.199016,1,36,36
3.94873,69.2973,1.0135,0.288174,0.288681,0.363831,0.187126,1,37,37
4.00598,71.8223,0.983463,0.296357,0.281405,0.28113,0.194608,1,38,38
3.89329,70.619,1.03005,0.318647,0.286295,0.387519,0.193672,1,39,39
4.02611,70.4483,0.989439,0.326262,0.285241,0.301789,0.189225,1,40,40
4.02827,70.6501,1.02251,0.313715,0.297251,0.307032,0.190961,1,41,41
4.05403,68.773,1.01864,0.316917,0.281051,0.313204,0.200775,1,42,42
3.87106,67.5724,0.981286,0.315125,0.271691,0.346863,0.189791,1,43,43
3.91556,70.104,1.01387,0.321108,0.262924,0.306985,0.191576,1,44,44
3.97344,70.2496,1.00148,0.32373,0.254769,0.339755,0.197052,1,45,45
3.92792,69.841,1.01751,0.322694,0.281639,0.311835,0.189247,1,46,46
3.86786,69.9386,1.04278,0.323091,0.297807,0.312156,0.197935,1,47,47
3.8236,68.9591,1.00984,0.3192,0.280637,0.370064,0.199082,1,48,48
3.93585,67.6445,1.00715,0.337413,0.283851,0.314426,0.185205,1,49,49
3.97335,67.4605,1.02817,0.317211,0.27442,0.366857,0.197798,1,50,50
4.07724,71.8204,1.0033,0.302432,0.336351,0.332833,0.190856,1,51,51
4.05344,71.8292,0.981926,0.30277,0.337168,0.332477,0.187967,1,52,52
3.94969,70.164,0.960533,0.290135,0.254746,0.337916,0.198889,1,53,53
3.94612,70.8787,0.995758,0.294819,0.291383,0.330498,0.191723,1,54,54
3.90227,71.0468,1.00852,0.317537,0.244792,0.332775,0.196249,1,55,55
3.96891,70.8504,0.998098,0.304839,0.259689,0.317414,0.194191,1,56,56
4.06569,70.6243,0.986932,0.280904,0.252651,0.312992,0.192461,1,57,57
4.05528,71.0542,1.00024,0.267757,0.248034,0.335198,0.193036,1,58,58
4.19944,68.4002,1.04726,0.288975,0.258622,0.348407,0.191976,1,59,59
4.02646,69.9644,0.956673,0.256024,0.231334,0.33319,0.19954,1,60,60
3.97067,67.9789,1.03236,0.295043,0.244777,0.333378,0.188898,1,61,61
4.05422,70.5,1.0618,0.298264,0.250458,0.315771,0.198237,1,62,62
3.92427,70.688,0.994019,0.298837,0.260379,0.293711,0.191615,1,63,63
3.84469,74.2225,0.948136,0.287924,0.234548,0.346273,0.196506,1,64,64
3.87831,76.579,0.937105,0.286263,0.253251,0.33618,0.194545,1,65,65
3.92199,76.6502,0.934855,0.291541,0.243437,0.336782,0.191196,1,66,66
3.934,75.8602,1.00555,0.280097,0.267967,0.322539,0.193766,1,67,67
3.9327,71.7116,0.970121,0.312122,0.252183,0.332038,0.1897,1,68,68
4.02223,72.2306,0.993657,0.305288,0.256252,0.373058,0.196116,1,69,69
3.9601,71.9519,1.01227,0.313502,0.256461,0.349343,0.189541,1,70,70
3.87003,69.6857,1.0339,0.300107,0.26366,0.334457,0.198141,1,71,71
4.01383,73.8215,1.00571,0.316739,0.296233,0.345269,0.194121,1,72,72
4.07929,66.0902,0.945235,0.30193,0.273509,0.320548,0.188456,1,73,73
4.04644,70.984,1.0122,0.315889,0.263514,0.35304,0.192353,1,74,74
4.00837,71.2244,0.996928,0.297446,0.277916,0.314624,0.196163,1,75,75
3.98211,70.1391,0.978442,0.295509,0.275644,0.430225,0.191884,1,76,76
3.97666,69.9847,0.973249,0.307041,0.268853,0.411855,0.191472,1,77,77
3.90701,70.0591,1.01182,0.323391,0.277647,0.350435,0.193602,1,78,78
3.86578,68.9897,1.00438,0.304019,0.260916,0.310354,0.193701,1,79,79
3.88061,71.1686,1.02586,0.320572,0.301167,0.336387,0.192234,1,80,80
3.88874,71.383,1.01348,0.314137,0.293389,0.337072,0.192719,1,81,81
3.88779,72.5672,1.05951,0.328475,0.310891,0.406785,0.193496,1,82,82
3.80863,70.1156,0.979075,0.309609,0.320874,0.346286,0.196649,1,83,83
3.88041,71.5342,0.968223,0.289028,0.253505,0.360243,0.190198,1,84,84
3.89226,71.4323,0.96766,0.29315600000000003,0.25068,0.377073,0.191675,1,85,85
3.89705,71.6685,0.97449,0.270362,0.27517200000000003,0.351414,0.195309,1,86,86
3.85005,70.7156,0.98818,0.259394,0.245562,0.328528,0.190831,1,87,87
3.83501,71.7989,0.970595,0.272649,0.271207,0.300071,0.197764,1,88,88
3.85918,73.6102,0.978318,0.32053,0.264898,0.36872,0.190755,1,89,89
3.92654,72.7831,1.0758,0.320599,0.257258,0.366376,0.194705,1,90,90
3.96136,71.7951,0.973375,0.29417,0.288233,0.365525,0.196878,1,91,91
4.09824,72.6353,1.03153,0.286196,0.250097,0.373193,0.189143,1,92,92
3.9969,68.7074,1.00067,0.319214,0.288415,0.361415,0.188066,1,93,93
4.00312,71.699,0.982667,0.299752,0.267746,0.325942,0.197437,1,94,94
4.00881,69.5137,0.989633,0.2956,0.26709,0.365745,0.18906,1,95,95
4.05029,68.3785,1.01058,0.295707,0.284275,0.351506,0.200487,1,96,96
3.97606,67.4683,0.975859,0.32129,0.305842,0.380602,0.186435,1,97,97
4.06299,71.2185,1.05636,0.321219,0.29294,0.332037,0.200174,1,98,98
4.07949,71.4303,0.994638,0.29483,0.257667,0.340831,0.190927,1,99,99
4.0462,71.1032,0.99256,0.298698,0.252268,0.33676,0.189815,1,100,100
4.02721,71.3503,1.09362,0.278122,0.243054,0.378207,0.192572,1,101,101
3.9517,68.7814,1.02538,0.297519,0.31261100000000003,0.335927,0.190922,1,102,102
3.903,70.2598,1.07366,0.341377,0.270508,0.386563,0.19404,1,103,103
3.89921,71.3625,1.07583,0.31426,0.289494,0.359248,0.196338,1,104,104
3.79618,70.7511,0.967025,0.31243,0.26665,0.316505,0.19255,1,105,105
3.83081,71.4703,0.985253,0.312774,0.254026,0.321547,0.191954,1,106,106
3.81028,69.1253,1.07267,0.307007,0.27669,0.339636,0.192823,1,107,107
3.83411,68.6135,1.03809,0.308198,0.284945,0.337844,0.192546,1,108,108
3.82467,68.6767,1.01483,0.338048,0.285843,0.310419,0.192264,1,109,109
3.85347,68.0857,1.02391,0.320793,0.276245,0.335763,0.192096,1,110,110
3.85576,70.5013,0.993357,0.297691,0.303123,0.391676,0.197072,1,111,111
3.91964,68.8372,1.00826,0.30302,0.249149,0.313382,0.187713,1,112,112
3.91537,73.9227,1.05635,0.294621,0.272808,0.379715,0.197179,1,113,113
3.83663,73.2315,0.975172,0.315422,0.306299,0.348129,0.186962,1,114,114
3.8343,72.2753,0.944766,0.33162,0.290522,0.331531,0.188999,1,115,115
3.8679,72.3549,0.951123,0.338123,0.301886,0.349611,0.186862,1,116,116
3.8963,71.0908,0.919574,0.291962,0.264942,0.369182,0.194104,1,117,117
3.86176,67.719,0.95891,0.309677,0.291717,0.322064,0.189643,1,118,118
3.99873,73.6482,1.06776,0.275838,0.282169,0.36779,0.187803,1,119,119
4.04677,71.7653,1.05424,0.297116,0.243915,0.329349,0.195787,1,120,120
4.02098,72.2482,1.00685,0.283924,0.259335,0.356452,0.192334,1,121,121
3.96964,71.0447,0.989562,0.273882,0.260726,0.366168,0.191655,1,122,122
4.03991,69.8583,0.954175,0.296199,0.302978,0.338358,0.194381,1,123,123
4.01456,69.4465,0.994638,0.322211,0.267182,0.330127,0.189258,1,124,124
4.01757,69.4676,1.00749,0.308383,0.271425,0.336561,0.190109,1,125,125
4.06595,69.252,1.00628,0.299846,0.251812,0.289624,0.196924,1,126,126
