TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma_p,.chain,.iteration,.draw
3.97951,69.7477,1.00175,0.274877,0.265182,0.335418,0.189927,1,1,1
4.10287,71.83,0.963477,0.319049,0.268236,0.288677,0.192465,1,2,2
4.09264,72.7812,0.937903,0.315589,0.278967,0.32157,0.194654,1,3,3
4.12395,71.649,1.10248,0.308397,0.265916,0.316241,0.192046,1,4,4
4.06935,70.5824,0.936424,0.293332,0.266653,0.37681,0.197785,1,5,5
4.05946,71.0269,0.988603,0.286731,0.244376,0.388061,0.192107,1,6,6
3.91968,72.3066,0.971849,0.296678,0.267068,0.354877,0.18862400000000001,1,7,7
4.01392,73.2207,0.986406,0.301152,0.253387,0.372394,0.194584,1,8,8
3.89747,70.0136,1.02128,0.287578,0.267434,0.33501,0.19346,1,9,9
3.88284,70.0069,0.975162,0.255656,0.289899,0.396473,0.193404,1,10,10
3.93288,69.9198,0.954623,0.272539,0.254529,0.323597,0.191639,1,11,11
3.87707,71.9244,0.960837,0.274395,0.26023,0.351253,0.194565,1,12,12
3.89359,73.2004,0.987953,0.270155,0.280173,0.356154,0.198414,1,13,13
3.9228,70.9019,0.99977800000000006,0.261586,0.274382,0.369609,0.201864,1,14,14
3.93792,68.5165,0.96246,0.287474,0.236243,0.300635,0.186584,1,15,15
4.0232,71.5705,1.02381,0.322948,0.296175,0.307292,0.196299,1,16,16
4.03301,70.4877,1.04365,0.328664,0.283592,0.335626,0.193217,1,17,17
4.01703,71.3354,1.01473,0.347843,0.269917,0.337381,0.203562,1,18,18
4.08351,70.64,1.03637,0.320539,0.245775,0.308486,0.187698,1,19,19
4.02656,69.151,0.982462,0.306957,0.313161,0.318386,0.194366,1,20,20
3.84979,70.1582,0.991397,0.304771,0.274419,0.307575,0.194755,1,21,21
3.90501,68.3176,1.02235,0.284338,0.267184,0.308722,0.196816,1,22,22
3.95704,69.4832,0.955553,0.3327,0.273104,0.352693,0.197768,1,23,23
3.97363,71.2578,0.985179,0.306298,0.253045,0.304451,0.190744,1,24,24
3.99238,72.8242,0.97488,0.304625,0.271915,0.328616,0.19889,1,25,25
3.92783,70.3248,0.873834,0.312099,0.288877,0.360382,0.190086,1,26,26
4.0054,69.6585,1.06121,0.2821,0.28042,0.348833,0.198032,1,27,27
3.98219,68.7751,1.01872,0.252104,0.286878,0.368916,0.184742,1,28,28
3.96067,68.711,1.01515,0.2587,0.286296,0.382722,0.185197,1,29,29
4.0052,70.2307,1.02691,0.350523,0.28525,0.346663,0.194633,1,30,30
3.96103,69.5614,0.970005,0.376765,0.270499,0.330915,0.193522,1,31,31
3.71661,71.1507,0.982806,0.337216,0.295031,0.320516,0.192933,1,32,32
3.70016,68.5623,0.942541,0.31206,0.260857,0.314575,0.194382,1,33,33
3.72824,72.814,0.988919,0.304655,0.301076,0.3522,0.187512,1,34,34
3.79233,71.2089,0.986006,0.283469,0.273788,0.3266,0.188956,1,35,35
3.80394,72.8145,0.985495,0.282543,0.255819,0.364886,0.190929,1,36,36
