TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
4.13583,71.88,1.01552,0.286919,0.279443,0.313527,0.196848,1,1,1
4.06852,71.0892,0.969092,0.285269,0.297407,0.317222,0.202788,1,2,2
4.03711,67.7366,1.00364,0.295374,0.262956,0.268195,0.200178,1,3,3
3.93487,70.4101,0.999935,0.297091,0.282138,0.313267,0.198065,1,4,4
3.86286,69.1109,0.974441,0.308989,0.257029,0.341533,0.196621,1,5,5
3.95939,71.0743,0.971125,0.299765,0.267183,0.333743,0.201555,1,6,6
4.026,69.2826,1.08036,0.285195,0.260784,0.366961,0.20122,1,7,7
3.99176,68.186,1.00319,0.272771,0.267627,0.336249,0.198015,1,8,8
3.98654,68.5633,0.966583,0.287087,0.243831,0.34255,0.197179,1,9,9
4.0584,72.7202,1.0037,0.274122,0.257173,0.300589,0.201312,1,10,10
4.10683,71.2569,0.981408,0.275115,0.272119,0.301445,0.200939,1,11,11
4.05029,72.5718,1.04354,0.299441,0.279081,0.326519,0.200582,1,12,12
4.0277,70.7098,0.991271,0.291155,0.267862,0.314608,0.194302,1,13,13
4.05446,70.3321,1.00369,0.276711,0.253756,0.322057,0.193866,1,14,14
3.94633,68.6131,0.959158,0.314917,0.280374,0.351557,0.197285,1,15,15
3.96328,67.529,1.01353,0.325872,0.271982,0.32699,0.201188,1,16,16
3.97619,67.3082,1.03374,0.30876,0.261787,0.313649,0.199934,1,17,17
3.99279,67.6889,1.01587,0.29983,0.27082,0.319912,0.205302,1,18,18
4.05269,73.1643,1.03239,0.277936,0.252935,0.285872,0.203572,1,19,19
3.98067,72.4125,0.97295,0.314974,0.273462,0.363155,0.194878,1,20,20
3.92865,70.3372,1.00576,0.310113,0.2667,0.302909,0.194569,1,21,21
3.9953,69.332,1.0369,0.297526,0.283433,0.329167,0.198748,1,22,22
4.06525,70.3125,1.05355,0.296018,0.279361,0.323114,0.201486,1,23,23
4.05103,69.155,1.01602,0.291163,0.284841,0.286806,0.195299,1,24,24
4.00526,69.991,1.00625,0.276595,0.25068,0.310606,0.200097,1,25,25
4.03976,69.5958,1.04473,0.273853,0.262743,0.29806,0.206481,1,26,26
4.01387,71.34,0.982093,0.300893,0.257817,0.318293,0.203687,1,27,27
