TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma_p,.chain,.iteration,.draw
3.95081,74.1462,3.82178,47.5023,1.04903,0.288748,0.347555,0.292383,0.241829,0.333168,0.194925,1,1,1
3.90734,78.1848,3.35072,43.2213,1.08867,0.31094,0.268981,0.251376,0.367314,0.380171,0.19793,1,2,2
3.87278,76.1976,3.27897,46.4216,1.13959,0.307413,0.25417,0.236574,0.353635,0.343326,0.201137,1,3,3
3.91102,74.6374,3.03517,46.6476,1.08062,0.306612,0.330829,0.359435,0.254864,0.356582,0.198411,1,4,4
3.96549,77.3666,2.96496,42.8036,1.13866,0.346072,0.299722,0.061102,0.319502,0.296479,0.197264,1,5,5
3.9907,77.7666,3.26525,43.7587,1.14253,0.355349,0.280879,0.0442169,0.307862,0.354671,0.200967,1,6,6
3.92073,77.0808,3.16453,45.6798,1.12616,0.314602,0.305191,0.0948783,0.346061,0.344748,0.197851,1,7,7
3.94017,77.9816,3.22151,43.7526,1.10416,0.336609,0.307066,0.0632051,0.261663,0.265147,0.202697,1,8,8
3.90626,78.1541,3.39135,43.8548,1.05255,0.318192,0.303043,0.122731,0.305505,0.342468,0.194595,1,9,9
4.01417,74.0221,3.80054,47.1387,1.05899,0.327619,0.327837,0.196299,0.329375,0.387215,0.200569,1,10,10
4.00736,72.1733,3.46796,46.7395,1.10016,0.321094,0.306541,0.238787,0.288221,0.321495,0.197965,1,11,11
3.95915,74.2183,3.76198,42.3124,1.10694,0.343206,0.336808,0.259606,0.309251,0.373957,0.198769,1,12,12
3.91755,74.2865,3.64215,46.4613,1.0765,0.353668,0.320944,0.253522,0.316161,0.327384,0.206477,1,13,13
3.94764,71.7078,3.32837,44.0004,1.09183,0.354127,0.340287,0.253388,0.264791,0.327094,0.192794,1,14,14
3.92178,71.8228,3.41416,43.5037,1.0809,0.353526,0.334377,0.243268,0.259385,0.329484,0.19327,1,15,15
3.96617,75.1096,3.34185,43.6011,1.14494,0.345759,0.320175,0.342057,0.266884,0.32432,0.198691,1,16,16
3.96661,77.5211,3.84618,47.9773,1.08043,0.341653,0.370514,0.174192,0.283088,0.342278,0.200118,1,17,17
3.98202,79.5272,3.46547,49.8455,1.0636,0.357529,0.30509,0.23474,0.299012,0.386641,0.198654,1,18,18
3.95881,72.7346,3.52707,44.303,1.03034,0.327587,0.329358,0.213056,0.248046,0.3519,0.198787,1,19,19
4.04282,72.7659,3.18173,45.7823,1.14188,0.3061,0.302171,0.125941,0.312491,0.376754,0.199977,1,20,20
4.01115,73.3469,3.20298,44.2481,1.08146,0.302014,0.307476,0.130504,0.31367,0.400596,0.201924,1,21,21
4.05344,73.0968,3.8908,46.7037,1.07644,0.297724,0.299676,0.181462,0.326524,0.345535,0.196023,1,22,22
3.98969,73.0333,3.11773,47.2316,1.05354,0.31474,0.373089,0.269412,0.316113,0.389715,0.198337,1,23,23
3.98211,72.946,3.73378,44.7478,1.09173,0.331403,0.286712,0.213071,0.310149,0.351172,0.195441,1,24,24
4.00039,72.6175,3.57617,47.4333,1.07643,0.301231,0.348966,0.174517,0.314569,0.331927,0.204261,1,25,25
3.89115,75.6515,3.39808,43.3794,1.0761,0.279,0.293055,0.158699,0.305616,0.263497,0.197137,1,26,26
3.86037,73.9511,3.22774,46.8224,1.14344,0.287355,0.338419,0.212988,0.257034,0.373227,0.199991,1,27,27
3.83764,74.6777,2.96214,48.0582,1.20907,0.287831,0.328069,0.18522,0.261111,0.38567,0.199341,1,28,28
3.85485,75.3069,3.26867,44.9419,1.20085,0.29154,0.300008,0.213647,0.304556,0.438736,0.200661,1,29,29
3.80921,77.8378,3.15722,44.6768,1.16477,0.294982,0.326202,0.236945,0.338348,0.337594,0.198695,1,30,30
3.77937,76.1748,2.95861,46.5059,1.07305,0.29567,0.288347,0.281485,0.325011,0.359312,0.199751,1,31,31
3.82925,78.3395,3.40915,43.3073,1.04492,0.294491,0.307494,0.366229,0.264059,0.377749,0.198741,1,32,32
3.8166,77.1073,3.31357,43.4625,1.04749,0.297887,0.292919,0.367427,0.294834,0.348957,0.197031,1,33,33
3.85583,77.1784,2.92091,48.3753,1.15174,0.306015,0.348114,0.437768,0.288263,0.334827,0.199767,1,34,34
3.8165,75.3713,2.58981,48.1472,1.10003,0.315102,0.315582,0.448815,0.288727,0.330069,0.200929,1,35,35
3.92568,80.7754,3.24215,44.7274,1.1053,0.33414,0.346177,0.256768,0.280025,0.32985,0.200147,1,36,36
3.97228,79.4726,3.76256,43.6055,1.07913,0.339436,0.353638,0.307299,0.240491,0.308471,0.200489,1,37,37
3.93124,76.7959,2.77344,47.2863,1.07599,0.327812,0.321222,0.233152,0.297527,0.35802,0.199391,1,38,38
3.97619,76.848,2.72816,45.2902,1.07741,0.320614,0.315902,0.289314,0.265852,0.336384,0.198488,1,39,39
4.00186,76.5177,3.15813,48.2326,1.14479,0.327425,0.344589,0.26034,0.286652,0.331327,0.202362,1,40,40
4.00406,75.4457,3.37367,46.8695,1.10635,0.328,0.354611,0.262751,0.262892,0.310331,0.201907,1,41,41
4.06751,78.4343,3.14449,41.8368,1.20742,0.295289,0.31164,0.100812,0.317249,0.375584,0.198721,1,42,42
4.05946,76.952,3.07425,43.7242,1.21946,0.297686,0.309842,0.091028,0.382763,0.348813,0.201142,1,43,43
4.05249,77.7288,3.28599,42.7235,1.20079,0.289655,0.312544,0.0864342,0.348422,0.34869,0.198535,1,44,44
4.08121,76.7266,3.27166,42.9678,1.19833,0.294249,0.30271,0.0918511,0.349198,0.339608,0.197772,1,45,45
4.04217,78.1179,3.28533,44.8701,1.10665,0.294072,0.291836,0.314095,0.26044,0.317316,0.201114,1,46,46
4.04315,82.226,3.52857,44.293,1.09507,0.279188,0.327852,0.184345,0.329941,0.36826,0.197609,1,47,47
3.99735,77.5787,3.45807,47.4659,1.06581,0.279062,0.371023,0.245804,0.254854,0.280215,0.201883,1,48,48
3.976,75.0008,3.40833,43.7581,1.13029,0.302841,0.364696,0.373383,0.304426,0.363374,0.195394,1,49,49
3.96611,72.3874,3.39911,43.181,1.12281,0.299003,0.390275,0.264468,0.322439,0.350135,0.199399,1,50,50
3.96017,72.2727,3.45869,43.6867,1.1074600000000001,0.313454,0.362005,0.434122,0.338034,0.318741,0.199399,1,51,51
3.97824,75.3766,3.26142,47.1098,1.1267,0.298959,0.389584,0.321109,0.335725,0.407622,0.198702,1,52,52
3.97162,76.4563,3.3325,45.331,1.13956,0.297218,0.3095,0.200102,0.311257,0.372862,0.199251,1,53,53
4.05017,73.3661,3.45555,47.1793,1.0931,0.30273,0.371036,0.382869,0.277696,0.352053,0.199286,1,54,54
4.11879,74.1312,3.84519,46.2197,1.10846,0.304681,0.295698,0.217533,0.287958,0.356858,0.196984,1,55,55
4.09888,73.0892,3.49045,46.225,1.06208,0.28217,0.346013,0.282938,0.245669,0.391686,0.202126,1,56,56
4.08582,73.0056,3.21892,42.6799,1.10362,0.281411,0.285804,0.110739,0.324373,0.311486,0.196248,1,57,57
4.08115,71.7472,3.14432,41.9338,1.09794,0.276717,0.335368,0.173782,0.352636,0.291434,0.203088,1,58,58
4.09763,75.2403,3.38277,47.1467,1.16955,0.283936,0.283418,0.227442,0.339713,0.295698,0.196703,1,59,59
4.00806,73.3987,3.04324,43.9524,1.16957,0.291623,0.320122,0.107733,0.347415,0.377086,0.20126,1,60,60
4.06673,71.5304,3.17968,45.9694,1.15342,0.271289,0.318197,0.297241,0.308561,0.386478,0.19821,1,61,61
4.1246,71.8601,3.91927,46.1757,1.04945,0.270588,0.319533,0.274626,0.315081,0.46038,0.199359,1,62,62
4.13632,70.5746,4.05786,46.1175,1.05227,0.275294,0.361348,0.213814,0.271278,0.363892,0.197397,1,63,63
4.06826,74.7888,3.14186,45.4997,1.09846,0.298063,0.323587,0.277066,0.310426,0.375821,0.201279,1,64,64
4.18014,69.2242,4.44733,47.5968,1.01377,0.333446,0.295022,0.275535,0.267816,0.361512,0.197713,1,65,65
4.1723,73.8339,2.92354,42.2428,1.15107,0.321306,0.348341,0.318426,0.321769,0.401389,0.201653,1,66,66
4.09616,72.2748,3.41761,44.8779,1.05521,0.311624,0.290345,0.24553,0.288836,0.357528,0.194916,1,67,67
4.12051,73.7085,4.09713,47.4886,1.0433,0.303445,0.317671,0.223207,0.294512,0.349729,0.201671,1,68,68
4.09461,73.6232,3.78089,47.8546,0.987756,0.301692,0.33024,0.312557,0.310456,0.351903,0.201236,1,69,69
4.00984,70.8904,3.4612,44.9004,1.12783,0.317289,0.283131,0.16575,0.242402,0.403711,0.200871,1,70,70
4.02625,70.3903,3.41009,46.2755,1.08962,0.31218,0.270942,0.271882,0.283278,0.424688,0.19855,1,71,71
4.11536,68.4166,3.99033,50.3307,1.041,0.326515,0.279715,0.233881,0.303921,0.391018,0.200532,1,72,72
4.13228,69.5023,3.47301,47.0108,1.10122,0.315154,0.298198,0.241483,0.284352,0.356738,0.19872,1,73,73
4.20873,69.2426,3.64918,45.7262,1.1109,0.307471,0.280694,0.281109,0.303116,0.35724,0.201036,1,74,74
4.21964,70.5113,3.31881,46.2696,1.09558,0.312895,0.289036,0.251805,0.27334,0.374454,0.200463,1,75,75
4.14722,73.4244,3.18748,44.1598,1.09977,0.326045,0.283465,0.287288,0.316559,0.364229,0.198594,1,76,76
4.1879,72.0165,3.64825,48.0371,1.07178,0.324715,0.323762,0.236024,0.275667,0.269668,0.201842,1,77,77
4.11799,74.5027,3.19302,42.7953,1.10564,0.297352,0.308412,0.260689,0.383182,0.459392,0.198091,1,78,78
4.11097,74.7721,3.04887,45.8362,1.13372,0.30264,0.294575,0.307683,0.319491,0.359196,0.200001,1,79,79
4.11375,74.8789,2.93608,45.9563,1.1225,0.33222,0.278348,0.216423,0.315374,0.346654,0.204004,1,80,80
4.1003,71.9979,2.63029,46.7212,1.12014,0.324376,0.320013,0.412837,0.323491,0.374489,0.19698,1,81,81
4.17403,73.7375,2.96377,45.2627,1.06272,0.331861,0.311544,0.284366,0.394715,0.432324,0.201711,1,82,82
4.13668,71.8986,3.13841,42.6637,1.10058,0.340989,0.293543,0.306541,0.310241,0.489377,0.197983,1,83,83
4.15492,64.8602,4.48492,49.7614,0.947065,0.325611,0.330591,0.300844,0.229715,0.417551,0.19938,1,84,84
4.17255,65.2604,4.25184,49.1899,0.985777,0.321365,0.385219,0.265096,0.255904,0.402047,0.19811,1,85,85
4.17413,68.7496,4.06363,48.2492,0.99104,0.318289,0.35708,0.349221,0.2922,0.404687,0.200831,1,86,86
4.23384,69.7651,3.44433,45.6064,1.12618,0.308844,0.324768,0.369295,0.275471,0.448427,0.196229,1,87,87
4.17083,70.6445,3.20807,44.0268,1.10801,0.304819,0.31069600000000003,0.226346,0.26698,0.388894,0.198246,1,88,88
4.10463,71.4029,3.26054,44.7549,1.0885,0.304804,0.314679,0.175554,0.269242,0.32727,0.198195,1,89,89
4.10599,74.1566,3.93714,45.4611,1.07261,0.302876,0.3008,0.252979,0.250173,0.342914,0.201782,1,90,90
4.08881,77.4336,3.06532,43.9167,1.1024,0.322242,0.312229,0.316614,0.249222,0.420178,0.195229,1,91,91
4.0846,72.8369,3.25661,44.2842,1.0207,0.303468,0.332489,0.393278,0.311266,0.42288,0.202506,1,92,92
4.10045,73.2006,3.09764,44.1964,1.01747,0.2956,0.32635,0.443855,0.301991,0.418263,0.20257,1,93,93
4.13225,76.1854,3.22573,43.6903,1.11749,0.303754,0.356136,0.427848,0.323034,0.395002,0.198718,1,94,94
4.09853,75.224,3.0959,43.0737,1.11677,0.31919,0.323797,0.490298,0.34556,0.413186,0.197528,1,95,95
4.14336,79.2851,2.51262,39.9551,1.07773,0.300507,0.361966,0.372827,0.283501,0.381532,0.200486,1,96,96
4.24127,74.4291,3.48662,46.2649,1.16677,0.336375,0.298451,0.104276,0.342048,0.34465,0.197462,1,97,97
4.21051,72.6247,3.62841,46.7467,1.11991,0.328657,0.319557,0.130334,0.375981,0.37991,0.201619,1,98,98
4.2098,74.7498,3.2542,47.8383,1.07675,0.335002,0.317635,0.198923,0.362339,0.43686,0.202725,1,99,99
4.2272,74.9262,3.50528,49.726,1.07932,0.328492,0.326602,0.146677,0.347112,0.427788,0.200948,1,100,100
4.20235,74.2832,2.7576,43.161,1.12651,0.317257,0.336943,0.183865,0.306512,0.441397,0.202137,1,101,101
4.16853,73.5664,2.97741,43.0781,1.05505,0.287056,0.332,0.18207,0.342492,0.371568,0.196851,1,102,102
4.19345,71.8217,3.41665,40.1741,1.08121,0.302809,0.333218,0.197447,0.336066,0.392681,0.199463,1,103,103
4.04752,68.2643,3.55272,44.8048,1.06682,0.311579,0.355701,0.315662,0.307957,0.374276,0.198927,1,104,104
4.13594,71.7223,3.13224,42.1701,1.22936,0.304096,0.296355,0.241241,0.298902,0.397024,0.201144,1,105,105
4.10483,69.8094,2.88355,47.068,1.15825,0.284173,0.315406,0.449038,0.346693,0.380604,0.196844,1,106,106
4.09809,70.5269,2.71382,46.1833,1.2236,0.30105,0.326211,0.427958,0.290466,0.404012,0.201508,1,107,107
4.0604,74.1791,3.06748,42.8092,1.05537,0.330785,0.361976,0.330675,0.326445,0.306249,0.200348,1,108,108
4.05619,74.8397,3.0164,42.8041,1.04376,0.32962,0.355813,0.31054,0.326257,0.309614,0.199676,1,109,109
4.13986,70.7658,3.38371,46.6291,1.04526,0.309585,0.337937,0.412359,0.302871,0.296786,0.19878,1,110,110
4.06374,72.3437,3.392,45.0604,1.08619,0.312234,0.309145,0.38191,0.294866,0.345439,0.199265,1,111,111
4.13564,72.906,3.65589,45.9051,1.10525,0.30295,0.333378,0.378909,0.308893,0.320812,0.200985,1,112,112
4.12558,75.3259,3.50168,46.077,1.13467,0.306961,0.345303,0.35091,0.275572,0.337852,0.197046,1,113,113
4.11964,71.2887,3.45885,49.5458,1.00512,0.355378,0.266365,0.432627,0.349681,0.327813,0.198269,1,114,114
4.10781,73.295,3.78863,45.4717,0.969628,0.354475,0.279177,0.40285,0.361878,0.368166,0.196381,1,115,115
4.20022,68.9092,3.92406,49.538,1.06608,0.337008,0.308211,0.458549,0.287175,0.400569,0.200157,1,116,116
4.1477,70.0425,3.3889,45.7295,0.96588,0.335684,0.333743,0.298704,0.339309,0.384436,0.199843,1,117,117
4.21273,67.4767,4.03599,48.999,1.0379,0.317416,0.339858,0.305711,0.254298,0.46429,0.197168,1,118,118
4.20083,69.8196,3.93025,49.008,1.03908,0.312397,0.358653,0.302824,0.279437,0.391492,0.196369,1,119,119
4.13945,70.4883,4.11314,48.3138,1.10092,0.320023,0.323678,0.296581,0.212428,0.371138,0.201593,1,120,120
4.16792,71.3949,3.66538,44.7695,1.05869,0.325053,0.331364,0.19054,0.267854,0.372721,0.198612,1,121,121
4.2198,71.7077,3.9047,49.4417,0.992793,0.299796,0.275634,0.237639,0.29719,0.39595,0.201603,1,122,122
4.15232,73.634,3.30921,46.7526,1.04349,0.317464,0.316821,0.204608,0.294173,0.396715,0.192039,1,123,123
4.16051,75.5682,3.36321,46.019,1.01276,0.326455,0.312974,0.204157,0.393234,0.396465,0.203394,1,124,124
4.10112,74.3019,3.34962,46.3313,1.21159,0.30129,0.330157,0.242498,0.255944,0.343727,0.20074,1,125,125
4.07099,77.4539,3.24129,45.1769,1.08545,0.298913,0.356153,0.225854,0.31906,0.383149,0.195029,1,126,126
