TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
4.03248,76.0588,3.30155,46.6036,1.10554,0.312527,0.343841,0.356545,0.360138,0.292132,0.200582,1,1,1
4.01885,74.9736,3.57777,49.8402,1.09895,0.317615,0.390842,0.482542,0.377432,0.3386,0.200595,1,2,2
4.04311,71.4238,3.68881,47.2389,1.00454,0.319592,0.365393,0.355438,0.311264,0.253314,0.194934,1,3,3
4.0137,74.3355,3.29272,48.0631,1.08988,0.322059,0.339822,0.360509,0.311906,0.362061,0.200033,1,4,4
4.11082,71.1643,3.46527,46.8719,1.10527,0.304413,0.39419,0.260546,0.329376,0.276176,0.197893,1,5,5
4.15481,73.6951,3.32621,46.5305,1.17512,0.299931,0.347937,0.350145,0.335532,0.254429,0.200101,1,6,6
4.14926,75.2709,3.08037,45.7344,1.06799,0.273268,0.394537,0.406355,0.31849,0.180553,0.200796,1,7,7
4.16206,74.8625,3.45573,46.332,1.11009,0.287263,0.342228,0.133806,0.332206,0.251476,0.196134,1,8,8
4.17677,77.1399,3.46164,44.9836,1.13224,0.294537,0.332,0.072876,0.319936,0.249253,0.198743,1,9,9
4.13935,71.7148,4.01395,52.4704,1.11821,0.26832,0.335929,0.0726079,0.355507,0.216237,0.201879,1,10,10
4.06334,71.9821,3.33194,48.9437,1.01123,0.272883,0.351143,0.260549,0.360257,0.174961,0.199681,1,11,11
4.04462,67.6282,3.15436,48.109,1.1191,0.273899,0.40334,0.234839,0.287615,0.206577,0.196978,1,12,12
4.02969,71.6815,3.1391,47.7309,1.10226,0.285785,0.365551,0.275804,0.377757,0.227309,0.199315,1,13,13
4.00807,72.6753,3.71588,47.2048,1.0522,0.276971,0.323488,0.182097,0.360072,0.237182,0.19671,1,14,14
4.01909,71.6791,3.81688,47.7391,1.03714,0.278008,0.33004,0.092963,0.426596,0.281731,0.197149,1,15,15
3.99322,69.875,3.41864,48.0046,1.04508,0.277896,0.306162,0.0798808,0.398529,0.283439,0.200184,1,16,16
4.01489,72.068,3.73553,46.7529,1.10862,0.278349,0.329131,0.0533577,0.361559,0.257482,0.200163,1,17,17
3.94605,72.8801,3.12772,44.248,1.12932,0.291036,0.310466,0.00948525,0.424063,0.329008,0.197757,1,18,18
3.95299,71.5285,3.61066,46.322,1.0986,0.290042,0.316336,0.0140753,0.385679,0.287185,0.198261,1,19,19
4.03056,73.3127,3.33482,44.1312,1.14533,0.3113,0.368785,0.210103,0.385287,0.204456,0.199638,1,20,20
4.03019,75.525,3.13244,42.5967,1.1982,0.302046,0.358278,0.218842,0.373746,0.181314,0.198764,1,21,21
4.02025,73.235,3.0467,44.1631,1.10587,0.310769,0.377487,0.135793,0.370473,0.218018,0.196692,1,22,22
4.03805,71.2227,3.64227,45.0473,1.0437,0.3002,0.341348,0.106107,0.278819,0.306481,0.201723,1,23,23
4.05074,74.564,3.46184,45.315,1.08596,0.30966,0.372546,0.113399,0.331829,0.300041,0.195727,1,24,24
4.12305,68.9462,3.51538,48.325,1.12126,0.305976,0.353471,0.220263,0.299834,0.290611,0.200442,1,25,25
4.14154,69.4189,3.43257,48.5959,1.11139,0.3038,0.340468,0.181646,0.295775,0.307712,0.199313,1,26,26
4.24479,72.3113,3.55653,47.5269,1.02673,0.311577,0.356602,0.223114,0.324182,0.21852,0.199928,1,27,27
4.26792,73.2225,4.07743,51.2364,1.08712,0.324749,0.331063,0.290691,0.27234,0.261564,0.198668,1,28,28
4.29146,75.6577,3.37141,42.7207,1.11361,0.299246,0.363702,0.364743,0.388261,0.205699,0.197865,1,29,29
4.26282,72.9715,4.22554,50.3357,1.04655,0.307501,0.354377,0.170053,0.236935,0.34257,0.199566,1,30,30
4.31458,71.8837,4.00202,47.2173,1.05119,0.314373,0.377007,0.280799,0.367643,0.291081,0.197099,1,31,31
4.22348,69.7695,3.75045,50.2878,1.05063,0.302432,0.33958,0.293606,0.285297,0.246612,0.204908,1,32,32
4.27396,74.1527,3.31501,48.7359,1.18521,0.307947,0.315291,0.157411,0.428565,0.273666,0.195231,1,33,33
4.2866,74.023,3.55243,47.5063,0.994085,0.289626,0.29792,0.243046,0.310119,0.262561,0.197321,1,34,34
4.26086,77.7879,3.38922,45.4073,1.1882,0.296332,0.350405,0.258219,0.358029,0.222437,0.19856,1,35,35
4.22231,71.5665,3.89588,48.4725,0.965599,0.275607,0.318411,0.387516,0.288241,0.249645,0.198392,1,36,36
4.23053,74.5724,3.9848,49.0233,1.02711,0.282388,0.339428,0.35903,0.281647,0.221326,0.196948,1,37,37
4.28019,72.7387,3.84194,53.2199,1.09987,0.279712,0.318909,0.273607,0.28318,0.216967,0.197982,1,38,38
4.25563,75.5653,3.78757,52.5722,1.19874,0.27209,0.298495,0.177449,0.281422,0.249726,0.200537,1,39,39
4.25941,73.2904,3.83142,50.6881,1.03808,0.305718,0.363185,0.353465,0.272881,0.240834,0.196552,1,40,40
4.26627,71.0615,4.42563,51.7347,0.994272,0.315208,0.330976,0.340315,0.245678,0.185806,0.202614,1,41,41
4.27328,75.999,3.12162,42.7243,1.1311,0.287825,0.309853,0.155975,0.34696,0.223547,0.195998,1,42,42
4.21514,74.2144,2.79818,48.5966,1.0838,0.304948,0.293646,0.27938,0.32112,0.271131,0.198012,1,43,43
4.23375,71.3733,3.69544,46.121,1.10505,0.299578,0.3106,0.189988,0.340786,0.249763,0.200624,1,44,44
4.14691,71.2328,3.41338,50.873,1.09722,0.310184,0.346146,0.239785,0.300234,0.235986,0.197297,1,45,45
4.18708,76.2326,3.42501,45.7026,1.17345,0.300647,0.328714,0.157231,0.272252,0.195615,0.196355,1,46,46
4.03121,74.4295,4.37547,49.3743,1.06906,0.32892,0.299753,0.0489212,0.27685,0.246105,0.199788,1,47,47
4.05193,77.0239,3.40455,45.8126,1.12471,0.328183,0.312114,0.0123883,0.305017,0.272474,0.199857,1,48,48
4.1442,76.2348,4.24141,46.8233,1.06225,0.306867,0.351107,0.00156538,0.394062,0.274762,0.198041,1,49,49
4.11636,72.6946,4.06027,49.5909,0.960547,0.30085,0.334712,0.00300839,0.317921,0.300355,0.19643,1,50,50
4.13364,71.2947,4.25537,52.2406,1.0414,0.305275,0.36543,0.00248226,0.299666,0.25716,0.197281,1,51,51
4.09576,72.9738,3.66118,49.1503,1.02671,0.295794,0.349562,0.00780711,0.325192,0.291313,0.197758,1,52,52
4.13336,74.9606,3.60914,45.8942,1.14576,0.295037,0.358843,0.0450353,0.302287,0.290839,0.199227,1,53,53
4.12418,74.9931,3.80042,47.4608,1.15187,0.295245,0.340993,0.0186144,0.258507,0.284253,0.197022,1,54,54
4.09504,73.254,3.68402,44.3773,1.05233,0.279006,0.326805,0.0415094,0.30383,0.252398,0.198824,1,55,55
4.03711,72.4189,4.0409,44.8784,1.02423,0.280303,0.35883,0.0848323,0.322205,0.28196,0.198177,1,56,56
4.01969,72.2796,3.73232,46.1568,1.05112,0.282732,0.345221,0.113663,0.32987,0.279782,0.198835,1,57,57
4.05148,73.0262,3.54092,45.1777,1.06469,0.275704,0.359099,0.110294,0.399727,0.263268,0.200782,1,58,58
4.02094,75.3096,3.84425,49.2038,1.14003,0.270745,0.353091,0.194441,0.263999,0.32588,0.195961,1,59,59
4.18485,74.9118,3.91651,47.8381,1.03913,0.274075,0.372082,0.236213,0.344223,0.240684,0.199872,1,60,60
4.19483,76.339,3.40901,48.9588,1.1318,0.269448,0.328386,0.186911,0.291325,0.23742,0.196206,1,61,61
4.22111,74.8443,3.37599,46.2623,1.04414,0.298555,0.355779,0.242228,0.262198,0.276187,0.200591,1,62,62
4.28972,74.2542,4.16893,48.0105,1.09099,0.284605,0.33787,0.140842,0.292114,0.320511,0.195792,1,63,63
4.27807,74.7347,3.37341,47.7083,1.09555,0.301192,0.390768,0.194246,0.284816,0.297388,0.20096,1,64,64
4.26186,76.3817,3.30013,49.5068,1.13618,0.292737,0.343568,0.222823,0.26893,0.358208,0.19753,1,65,65
4.24728,70.8987,4.45855,48.7172,1.04398,0.310565,0.363852,0.134639,0.265118,0.20152,0.203866,1,66,66
4.22083,74.8106,3.21706,48.6295,1.14041,0.295907,0.342699,0.308826,0.259117,0.319261,0.194989,1,67,67
4.20786,73.1062,3.72265,48.6902,1.0817,0.289792,0.366644,0.250077,0.251784,0.236081,0.197685,1,68,68
4.23268,73.866,3.5387,49.213,1.11602,0.287047,0.388738,0.293326,0.251709,0.281089,0.197866,1,69,69
4.24313,72.0544,4.00335,51.8445,1.03755,0.291375,0.396283,0.448058,0.24387,0.240813,0.19996,1,70,70
