TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma_p,.chain,.iteration,.draw
4.04417,82.533,2.84694,45.2031,1.13687,0.31757,0.332803,0.173821,0.298153,0.427361,0.19997500000000001,1,1,1
4.03588,80.2088,3.22013,45.5103,1.08234,0.316075,0.311516,0.215224,0.328306,0.339115,0.199105,1,2,2
4.08078,79.0351,3.60427,45.5352,1.07475,0.327598,0.361041,0.208582,0.321233,0.38297,0.197688,1,3,3
4.08353,79.8967,3.45307,43.1481,1.13953,0.319663,0.310137,0.250915,0.320037,0.381786,0.199118,1,4,4
4.08113,80.5152,3.38118,46.6925,1.04939,0.283657,0.322754,0.286776,0.256464,0.367018,0.197509,1,5,5
4.07342,77.8281,3.44047,47.0247,1.11583,0.308532,0.345537,0.318146,0.238803,0.400124,0.196527,1,6,6
4.0466,76.7481,3.35793,47.5211,1.07905,0.310292,0.306896,0.301302,0.266145,0.40008,0.197579,1,7,7
4.00308,76.4284,3.19228,45.2384,1.16186,0.334158,0.327483,0.388013,0.231183,0.39098,0.201648,1,8,8
3.94588,75.4742,2.58342,43.2563,1.11031,0.34857,0.309033,0.287551,0.336797,0.335548,0.19844,1,9,9
4.02443,74.3909,3.48808,44.77,1.07355,0.335955,0.325971,0.216321,0.307784,0.413066,0.200021,1,10,10
3.95231,76.0913,3.35168,47.1239,1.00945,0.341122,0.298486,0.156834,0.312559,0.382438,0.197197,1,11,11
3.95529,75.6347,3.54783,43.9772,1.0684,0.353053,0.291048,0.219411,0.264618,0.363448,0.20145,1,12,12
3.99248,74.2784,4.00065,46.3178,1.01447,0.347399,0.275876,0.148755,0.24711,0.35067,0.1996,1,13,13
3.87664,77.5456,3.02942,46.0348,1.18409,0.364241,0.302391,0.242047,0.266627,0.356401,0.19991,1,14,14
3.90138,72.8751,3.90293,47.7659,1.02907,0.348859,0.329605,0.341617,0.284175,0.34681,0.199294,1,15,15
3.94011,77.3257,3.68174,45.8391,1.07142,0.304271,0.263825,0.281444,0.283358,0.379995,0.198175,1,16,16
3.92257,78.0084,3.48682,45.2683,1.15139,0.306241,0.291922,0.227277,0.297416,0.349185,0.197086,1,17,17
3.96813,76.5982,3.45363,46.9123,1.04154,0.311945,0.321595,0.151596,0.28297,0.41863,0.199447,1,18,18
3.9827,73.3612,4.39993,46.5567,1.09349,0.2936,0.273172,0.319843,0.335536,0.427954,0.198304,1,19,19
3.96836,70.2013,3.71872,47.432,1.01183,0.288375,0.357694,0.271656,0.269944,0.379723,0.195872,1,20,20
3.98613,74.0453,3.39551,46.6047,1.11331,0.30008,0.294922,0.363856,0.259183,0.374216,0.199368,1,21,21
3.90624,74.7501,3.69373,45.0617,1.09182,0.312436,0.342533,0.167924,0.278073,0.313057,0.198139,1,22,22
3.94464,75.7416,3.49145,46.0513,1.12203,0.312756,0.33278,0.147076,0.332088,0.409149,0.197847,1,23,23
3.94544,73.8253,2.97818,43.0512,1.15684,0.335665,0.331058,0.193457,0.337758,0.342931,0.202418,1,24,24
4.05187,72.6969,3.61723,46.2482,1.01461,0.35198,0.309607,0.222475,0.271094,0.354376,0.197004,1,25,25
4.06573,75.0329,2.89251,44.374,1.17002,0.350558,0.37211,0.265383,0.322777,0.320271,0.202588,1,26,26
4.10226,74.6448,3.23343,48.9321,1.08881,0.33213,0.306636,0.243155,0.26098,0.393263,0.195628,1,27,27
4.00683,69.2707,3.50296,47.2616,1.12359,0.373795,0.343839,0.212973,0.282306,0.356863,0.203897,1,28,28
4.03793,68.519,3.86771,48.0067,1.09229,0.366422,0.356436,0.218199,0.261615,0.32308,0.203998,1,29,29
4.02031,68.7546,3.95729,47.7753,1.10022,0.363633,0.360986,0.210354,0.265054,0.330623,0.203475,1,30,30
3.88808,71.5799,3.09609,48.7987,1.09696,0.366268,0.393406,0.511211,0.274416,0.420201,0.197233,1,31,31
4.02751,73.149,4.02257,46.7469,1.01845,0.353424,0.339158,0.336738,0.315389,0.458258,0.201575,1,32,32
4.07128,74.7303,3.53864,45.4363,1.09977,0.320746,0.366494,0.395283,0.312899,0.436233,0.199936,1,33,33
4.05958,75.1273,3.81147,45.8361,1.01,0.31706,0.329717,0.444412,0.296324,0.425558,0.196855,1,34,34
4.0895,74.1186,4.0227,45.9176,1.03703,0.323885,0.3075,0.254296,0.265987,0.387384,0.200203,1,35,35
4.03237,74.3954,3.29837,46.9068,1.12294,0.324773,0.333337,0.330253,0.273303,0.409292,0.197101,1,36,36
4.06338,74.4664,3.20692,43.7038,1.0849,0.335875,0.289878,0.299253,0.247202,0.40617,0.201588,1,37,37
4.04438,75.7292,3.31592,44.9174,1.08506,0.31402,0.322809,0.143899,0.282558,0.360579,0.198165,1,38,38
4.09528,67.9508,3.81112,45.4035,1.02651,0.320775,0.283986,0.291966,0.327062,0.476134,0.201181,1,39,39
4.17638,72.6582,3.59921,50.0564,1.05899,0.309337,0.334873,0.370828,0.247247,0.369106,0.198686,1,40,40
4.17924,71.8302,3.80419,46.899,1.10652,0.294452,0.334116,0.172547,0.334919,0.344475,0.199163,1,41,41
4.14898,72.3271,3.29595,44.7357,1.0958,0.291774,0.339774,0.230839,0.319862,0.368425,0.199895,1,42,42
4.15691,73.5921,3.34875,44.7885,1.13621,0.308929,0.344677,0.296551,0.302283,0.396273,0.199216,1,43,43
4.09198,72.7714,2.99776,46.5592,1.07246,0.304503,0.33822,0.256252,0.291751,0.371558,0.200391,1,44,44
4.088,73.609,3.07792,43.6079,1.10464,0.302701,0.300528,0.154688,0.297408,0.370019,0.196921,1,45,45
4.17297,76.0056,3.25207,44.936,1.12997,0.313146,0.351274,0.0867596,0.357452,0.396403,0.202139,1,46,46
4.07778,75.6153,3.02034,40.9671,1.08577,0.305316,0.332541,0.0559317,0.294228,0.344981,0.199914,1,47,47
4.14821,77.2414,3.05774,44.1855,1.10673,0.307422,0.308646,0.124033,0.328086,0.353467,0.198454,1,48,48
4.11385,68.3372,3.82163,46.2575,1.03868,0.292926,0.341395,0.168582,0.326956,0.388938,0.201555,1,49,49
4.07976,75.338,3.07496,46.5907,1.04535,0.278917,0.363873,0.405027,0.314283,0.404335,0.198338,1,50,50
4.0493,74.692,3.14449,42.2402,1.10767,0.278547,0.271367,0.110043,0.392678,0.420171,0.199532,1,51,51
4.07544,76.6729,3.12471,39.9874,1.21579,0.269085,0.317223,0.22129,0.392352,0.408905,0.19706,1,52,52
4.0764,76.8143,2.66436,39.9565,1.22562,0.269937,0.296322,0.134756,0.395024,0.381222,0.198833,1,53,53
4.12718,73.1261,3.79466,46.7297,1.0381,0.262068,0.28265,0.169146,0.334614,0.495663,0.197665,1,54,54
4.08324,72.5785,3.73231,46.3784,1.09386,0.261947,0.272091,0.195578,0.36388,0.488529,0.197222,1,55,55
4.06722,73.8612,3.39911,45.3305,1.0317,0.259781,0.266644,0.245457,0.392783,0.490863,0.196698,1,56,56
4.06889,71.6298,3.81383,46.6017,1.05971,0.254335,0.312016,0.271591,0.336079,0.477023,0.20086,1,57,57
4.06954,70.8879,4.07355,46.983,1.04726,0.255244,0.305566,0.308266,0.345115,0.471913,0.199442,1,58,58
4.01695,70.9496,3.90575,44.5413,0.957855,0.241997,0.303611,0.342294,0.350448,0.472656,0.197898,1,59,59
3.96878,70.5312,3.19767,48.804,1.02592,0.243229,0.346178,0.337085,0.25277,0.42018,0.201666,1,60,60
3.9783,72.6267,4.10841,43.1732,1.0408,0.250756,0.272825,0.163008,0.345202,0.364829,0.197388,1,61,61
3.93405,73.875,3.12578,42.9765,1.0081,0.250539,0.260002,0.159969,0.325891,0.354528,0.199434,1,62,62
3.97722,67.1148,4.10294,46.132,1.08317,0.250179,0.31982,0.304375,0.276346,0.433119,0.201278,1,63,63
3.92103,72.419,3.46267,46.775,1.08528,0.267379,0.303544,0.120061,0.315077,0.446129,0.196459,1,64,64
3.98248,74.9406,3.3866,42.2601,1.10342,0.282775,0.318217,0.191194,0.33865,0.32712,0.201097,1,65,65
3.97377,77.1459,3.65389,46.6993,1.07901,0.290852,0.337345,0.118926,0.303383,0.376709,0.197532,1,66,66
3.95722,75.8713,3.34675,45.2301,1.04321,0.294935,0.367261,0.0606368,0.319785,0.341948,0.198481,1,67,67
3.95827,76.0125,3.23248,42.2764,1.0949,0.288911,0.316279,0.184475,0.317798,0.379308,0.200217,1,68,68
4.07044,73.3228,3.75089,48.5308,1.18083,0.304091,0.304198,0.065994,0.307825,0.346006,0.198999,1,69,69
4.04551,73.6631,3.55425,45.9054,1.17919,0.307381,0.306494,0.0922572,0.2849,0.360206,0.199334,1,70,70
4.07528,75.3558,3.31267,46.6836,1.1735,0.301891,0.319569,0.161889,0.337535,0.37891,0.201468,1,71,71
3.97184,79.1169,2.88816,39.9586,1.09532,0.303339,0.297983,0.362827,0.37455,0.392117,0.201612,1,72,72
4.0883,76.89,3.03099,45.5066,1.18744,0.262253,0.308667,0.306794,0.278844,0.327225,0.200317,1,73,73
