TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma_p,.chain,.iteration,.draw
4.00226,70.018,3.78802,52.4089,1.11254,0.283619,0.313401,0.22754,0.226438,0.307468,0.196151,1,1,1
3.96452,69.7455,3.96208,48.5881,0.969611,0.330414,0.346841,0.339685,0.239987,0.353125,0.205193,1,2,2
4.0075,72.6956,3.98743,54.3232,1.01199,0.27495000000000003,0.331023,0.226137,0.252863,0.353691,0.197959,1,3,3
3.89675,77.805,3.35959,50.7704,1.08389,0.317045,0.352764,0.23159,0.228402,0.316057,0.201419,1,4,4
4.07995,75.2981,3.57356,53.259,1.04163,0.28711,0.303561,0.338509,0.232155,0.3072,0.198973,1,5,5
4.09473,77.6859,3.49354,52.5579,1.08272,0.30368,0.318937,0.290598,0.242406,0.365586,0.207816,1,6,6
4.13276,70.1368,4.19128,48.2643,1.0493,0.293101,0.343412,0.21298,0.261793,0.348851,0.199757,1,7,7
4.22813,69.1164,3.82083,46.6536,1.03571,0.282654,0.320313,0.164177,0.244447,0.379633,0.20057,1,8,8
4.00097,72.0935,3.61198,51.4958,1.11352,0.279432,0.304889,0.18417,0.276608,0.371459,0.197976,1,9,9
4.064,71.7174,3.82145,49.658,1.09823,0.279472,0.297423,0.0116271,0.24246,0.431697,0.204345,1,10,10
3.9972,71.4185,3.98087,48.6111,0.980476,0.310987,0.38878,0.150679,0.234401,0.373154,0.195435,1,11,11
4.0728,72.3835,4.27195,49.8415,1.01509,0.316759,0.39328,0.190371,0.273293,0.4175,0.19902,1,12,12
4.15451,71.4203,3.81475,48.4659,1.07293,0.263938,0.309692,0.0751601,0.283739,0.364606,0.197622,1,13,13
4.08166,71.467,3.91251,48.3268,1.08114,0.279488,0.321025,0.116751,0.263727,0.317539,0.195283,1,14,14
4.18733,71.7136,3.80708,49.7695,1.08144,0.279566,0.333105,0.220595,0.278302,0.286792,0.206701,1,15,15
4.19412,71.4125,4.11515,50.0164,1.07442,0.289192,0.327962,0.154065,0.23999,0.290644,0.206849,1,16,16
4.28398,73.383,3.71862,48.4731,1.08321,0.286947,0.299999,0.0895419,0.332188,0.248638,0.197061,1,17,17
4.26607,70.9147,4.2533,49.5715,0.996658,0.274742,0.320885,0.0567259,0.361421,0.307726,0.204451,1,18,18
4.16853,75.3306,3.8666,43.8574,1.1207,0.267549,0.317378,0.225272,0.328708,0.342255,0.200074,1,19,19
4.06761,74.76,3.77115,46.0761,1.11941,0.274804,0.32029,0.142434,0.433444,0.327192,0.192491,1,20,20
4.05137,71.3192,3.88554,50.1714,1.07059,0.290363,0.318622,0.109056,0.256255,0.387811,0.200645,1,21,21
4.15811,71.4089,3.61571,50.2619,1.11837,0.293285,0.366112,0.0804671,0.2832,0.32819,0.200215,1,22,22
4.19033,75.604,4.04966,45.5789,0.992761,0.280811,0.3578,0.123058,0.237296,0.320175,0.20055,1,23,23
4.07558,74.8279,4.06492,49.8717,1.00252,0.295528,0.360307,0.28679,0.2262,0.384033,0.19395,1,24,24
4.15935,75.9421,4.17105,46.1944,1.04807,0.276541,0.424096,0.222152,0.260415,0.330431,0.203284,1,25,25
4.10758,75.8061,3.55671,48.8751,1.03514,0.310405,0.387503,0.222494,0.226544,0.353164,0.194364,1,26,26
4.11918,72.236,4.6024,49.615,1.01753,0.31385,0.34919,0.284973,0.295654,0.306635,0.206081,1,27,27
4.07009,72.2655,3.81222,50.222,1.00199,0.302491,0.386225,0.335559,0.233112,0.324764,0.191064,1,28,28
4.069,71.278,4.12831,50.7553,1.02837,0.304905,0.356214,0.331636,0.267626,0.346841,0.195833,1,29,29
4.05707,70.1501,3.87341,53.0616,0.989627,0.29967,0.374304,0.212635,0.269422,0.344044,0.197689,1,30,30
4.03761,72.1575,3.5991,47.0732,1.0699,0.291692,0.329765,0.281504,0.325287,0.292668,0.19952,1,31,31
4.09072,71.162,4.36076,49.0554,1.0858,0.280117,0.319455,0.203016,0.310114,0.266412,0.191482,1,32,32
4.13613,75.5955,3.97686,50.5322,0.993981,0.293831,0.341134,0.306476,0.27765,0.292841,0.202905,1,33,33
4.13366,72.5913,4.06014,49.4929,1.12231,0.266807,0.298094,0.184153,0.292748,0.366264,0.19133,1,34,34
4.09675,72.35,4.02635,49.1249,1.08556,0.260393,0.326989,0.0960714,0.28082,0.392848,0.206338,1,35,35
4.07592,72.1731,4.23302,47.1268,1.04248,0.275739,0.338533,0.172316,0.359312,0.34376,0.192242,1,36,36
4.07569,74.1576,3.52828,46.2051,1.0107,0.265094,0.329428,0.138803,0.296923,0.308495,0.203868,1,37,37
4.20544,74.2564,3.30123,50.1433,1.14724,0.319989,0.312584,0.127535,0.258988,0.328706,0.204931,1,38,38
4.30003,75.1654,3.87698,46.9889,1.03721,0.310362,0.286747,0.103751,0.325635,0.316746,0.202828,1,39,39
4.24744,73.4926,4.03395,49.1138,1.03658,0.327392,0.310973,0.0410278,0.262145,0.310284,0.202895,1,40,40
