TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
3.99141,71.2353,3.41218,57.112,0.97226,0.323269,0.325254,0.398728,0.364881,0.286166,0.192749,1,1,1
4.04887,73.6253,3.58171,56.5054,1.02634,0.322975,0.307174,0.382009,0.37583,0.33411,0.193786,1,2,2
4.02972,68.6472,3.57499,56.0229,0.995938,0.335093,0.390616,0.446371,0.332028,0.309686,0.192073,1,3,3
4.13237,70.7973,3.43229,53.146,0.955521,0.312781,0.402389,0.378142,0.378532,0.272757,0.191033,1,4,4
4.11133,70.2124,3.47379,52.5131,0.952476,0.306587,0.41542,0.412568,0.329835,0.274238,0.190405,1,5,5
4.03861,72.8355,3.23625,50.4081,0.960064,0.298567,0.364751,0.3695,0.267613,0.329267,0.196092,1,6,6
4.00776,70.8692,3.56134,50.8266,0.93502,0.295762,0.372104,0.388178,0.318692,0.310591,0.196124,1,7,7
3.94433,65.2959,4.28266,60.0326,0.994136,0.310465,0.361102,0.414934,0.32806,0.275515,0.198009,1,8,8
3.91997,64.9228,4.23811,58.8543,0.991336,0.306559,0.35653,0.413447,0.333764,0.276886,0.197582,1,9,9
3.97,65.7083,4.11179,55.9758,0.96378,0.319444,0.394062,0.480951,0.264431,0.312879,0.192933,1,10,10
4.04111,69.2459,4.1391,48.3644,0.992573,0.295362,0.349149,0.425543,0.369792,0.2848,0.195796,1,11,11
4.06802,63.912,4.53831,52.5435,0.941908,0.28828,0.367959,0.527414,0.308462,0.302051,0.196025,1,12,12
4.02156,61.3009,4.32949,54.2744,0.900702,0.26601,0.390151,0.480172,0.397051,0.296677,0.193114,1,13,13
3.99134,62.5537,4.69561,55.2503,0.930079,0.295468,0.324411,0.432744,0.299563,0.351524,0.198794,1,14,14
4.06435,67.284,4.68591,54.1784,0.969771,0.299455,0.315746,0.46323,0.39046,0.31966,0.196842,1,15,15
4.1587,64.8987,4.60721,56.6678,0.949024,0.290258,0.334569,0.456828,0.321709,0.320455,0.198035,1,16,16
4.18029,63.8281,4.33463,52.5722,0.970314,0.266892,0.404951,0.496311,0.3351,0.311173,0.193362,1,17,17
4.14348,63.7225,4.44342,51.4856,1.00224,0.260784,0.38968,0.556565,0.401816,0.325402,0.195009,1,18,18
4.14507,65.2923,4.36768,57.0383,0.934644,0.302789,0.35869,0.489969,0.354547,0.303871,0.195446,1,19,19
4.08877,63.5697,4.46755,60.0448,0.893191,0.312529,0.347611,0.563588,0.343403,0.239474,0.19215,1,20,20
4.08285,63.7993,4.41567,59.149,0.898567,0.311624,0.366077,0.561988,0.393362,0.239587,0.192177,1,21,21
3.95674,72.4355,3.18693,52.465,1.09033,0.307378,0.339291,0.459395,0.340432,0.28755,0.202316,1,22,22
3.96004,69.4458,3.50622,59.5681,1.00548,0.30351,0.366861,0.431671,0.431736,0.258792,0.195671,1,23,23
4.05748,70.7869,3.4649200000000002,57.2098,1.03231,0.29365,0.392828,0.515064,0.416546,0.230359,0.198489,1,24,24
4.02133,70.538,3.84091,60.5337,0.985499,0.30111,0.371237,0.480577,0.37488,0.212865,0.192054,1,25,25
3.95728,72.0415,3.70485,55.0554,0.988327,0.279565,0.312666,0.424355,0.426019,0.260075,0.191887,1,26,26
3.89786,70.3472,4.06292,58.1103,1.05304,0.293447,0.341151,0.472845,0.382664,0.257795,0.194713,1,27,27
3.75105,71.9609,3.95638,60.5552,0.962495,0.294153,0.381778,0.456112,0.347905,0.235034,0.189885,1,28,28
3.70098,70.7369,3.68767,57.9019,0.956159,0.298261,0.412542,0.43788,0.350857,0.201196,0.196907,1,29,29
3.69085,68.5922,3.83901,57.2889,0.929573,0.31479,0.367694,0.403904,0.420687,0.212955,0.195509,1,30,30
3.81798,75.7422,3.60954,58.4861,1.04577,0.307721,0.384494,0.365371,0.349078,0.216915,0.191882,1,31,31
3.83278,73.9479,3.81584,59.3011,0.982628,0.294296,0.369818,0.421586,0.350284,0.184746,0.199208,1,32,32
3.86079,72.3322,3.87336,57.0577,0.961424,0.297708,0.360479,0.366315,0.355712,0.16868,0.191735,1,33,33
3.78127,74.2986,3.76635,50.8415,0.914326,0.285768,0.343179,0.314202,0.291842,0.257177,0.20149,1,34,34
3.7977,72.2326,4.2353,55.45,0.935585,0.297899,0.348148,0.357244,0.312772,0.219572,0.195207,1,35,35
3.72355,70.6187,3.88751,54.9461,1.03668,0.265446,0.411592,0.353867,0.312269,0.328268,0.201719,1,36,36
3.81319,71.3341,3.55149,53.4142,1.00048,0.270422,0.362476,0.371057,0.372074,0.254109,0.188896,1,37,37
3.87086,67.4474,3.96256,54.8786,0.956562,0.266326,0.374321,0.413782,0.340478,0.229702,0.192797,1,38,38
3.89898,65.2281,3.92633,54.509,0.912233,0.248746,0.439627,0.455263,0.283596,0.240081,0.195626,1,39,39
3.9145,68.437,3.89631,53.7587,1.00333,0.26261,0.32337,0.349174,0.345435,0.240656,0.195451,1,40,40
3.90093,68.8365,4.07417,50.944,1.01222,0.28086,0.3398,0.348031,0.321194,0.197481,0.196385,1,41,41
4.00426,67.1738,3.73474,52.5223,0.931191,0.29427,0.321649,0.439706,0.358008,0.280609,0.194409,1,42,42
3.88297,71.664,3.76593,51.5849,1.03155,0.321469,0.411109,0.356193,0.363751,0.213094,0.1945,1,43,43
3.94843,72.8412,3.62313,50.8576,1.05528,0.305052,0.421338,0.358899,0.367827,0.213103,0.196316,1,44,44
3.94922,72.4838,3.62378,51.0212,1.08897,0.300844,0.4187,0.33813,0.366784,0.221929,0.196045,1,45,45
3.86075,70.6415,4.09286,54.0899,0.994401,0.29139,0.326142,0.495746,0.363397,0.209938,0.191667,1,46,46
3.89469,70.4062,4.00331,55.4603,0.965716,0.28537,0.340538,0.448851,0.355876,0.208277,0.192481,1,47,47
3.74942,70.0952,3.88555,50.6813,0.982343,0.305283,0.341784,0.519949,0.323814,0.219765,0.200052,1,48,48
3.79321,68.4793,3.82428,49.5736,1.00261,0.317186,0.348647,0.492769,0.304251,0.211138,0.200855,1,49,49
3.68981,67.3608,3.87809,55.506100000000004,0.981937,0.299902,0.4365,0.473058,0.308694,0.240642,0.193882,1,50,50
3.77413,67.3864,4.01064,53.0778,0.967647,0.299349,0.380019,0.463956,0.243186,0.260584,0.196293,1,51,51
3.94447,69.3762,4.01706,55.6684,0.982603,0.25765,0.334243,0.441559,0.337581,0.214689,0.195625,1,52,52
3.83722,69.0249,3.66739,57.6836,0.955651,0.303222,0.31032,0.325535,0.322783,0.263569,0.195597,1,53,53
4.04096,73.9566,3.40222,51.1435,1.01932,0.26919,0.333565,0.345707,0.394248,0.298688,0.192036,1,54,54
4.10791,72.4355,3.40654,47.9301,1.02886,0.26723,0.310209,0.402852,0.348979,0.279336,0.191463,1,55,55
3.89882,68.1569,3.67807,57.9641,0.992147,0.289204,0.350941,0.468966,0.327066,0.299685,0.195282,1,56,56
3.90887,69.8181,3.36531,54.1232,0.923706,0.307246,0.441471,0.535087,0.27624,0.176403,0.19236,1,57,57
3.94452,71.7723,3.4508,52.146,0.986668,0.324428,0.362038,0.42069,0.316535,0.211188,0.202236,1,58,58
3.85891,71.4606,3.28618,53.313,1.00619,0.359297,0.392692,0.52904,0.356904,0.20132,0.197791,1,59,59
3.92023,69.8854,3.478,53.4907,0.980167,0.351921,0.34924,0.52839,0.385592,0.210936,0.195684,1,60,60
