TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma_p,.chain,.iteration,.draw
4.04481,73.0588,3.8098,53.0639,1.05934,0.32031,0.280714,0.289036,0.214284,0.458897,0.201509,1,1,1
3.90173,70.5804,3.70344,52.1013,1.01347,0.32469,0.259661,0.306128,0.239664,0.412511,0.196592,1,2,2
4.04373,72.2949,3.64019,46.7695,1.1232,0.29715,0.276356,0.234437,0.296814,0.358797,0.199138,1,3,3
3.97376,68.9272,4.22779,50.4247,1.06149,0.316143,0.262057,0.229517,0.30387,0.369644,0.200742,1,4,4
4.05558,70.1473,4.06351,54.6003,1.09078,0.310423,0.287779,0.229435,0.23845,0.332819,0.203879,1,5,5
4.12829,72.8863,3.44574,45.0405,1.0736,0.291857,0.323957,0.0673124,0.238785,0.279462,0.202303,1,6,6
4.18685,73.0145,3.73633,51.1673,1.12434,0.277498,0.231865,0.0827063,0.300821,0.323887,0.201664,1,7,7
4.27898,68.762200000000007,4.06756,46.9092,1.01542,0.250387,0.306468,0.0281579,0.22709,0.375389,0.201115,1,8,8
4.24832,71.5566,3.74261,43.0443,1.07195,0.246709,0.289494,0.0121961,0.27185,0.372341,0.203184,1,9,9
4.19214,67.1654,4.112,49.2613,1.09086,0.240508,0.334145,0.124954,0.284166,0.291667,0.200751,1,10,10
4.19713,74.2386,3.30409,41.5442,1.13758,0.286406,0.359092,0.102353,0.339074,0.328874,0.201001,1,11,11
4.18464,76.0493,3.72731,47.9561,1.03777,0.277358,0.32196,0.212675,0.269019,0.313546,0.199481,1,12,12
4.23464,77.0402,3.77896,48.7549,1.04871,0.273143,0.309372,0.205951,0.235692,0.28591,0.196685,1,13,13
4.16509,68.1356,3.46867,49.2635,1.06782,0.280116,0.356218,0.375908,0.271112,0.28088,0.200643,1,14,14
4.00053,76.2049,3.67935,49.407,1.1186,0.286036,0.330739,0.266697,0.239925,0.238862,0.202398,1,15,15
3.98661,76.0783,3.15126,47.9974,1.0958,0.284886,0.313483,0.369807,0.259147,0.243132,0.199048,1,16,16
3.92753,69.1077,4.19365,50.3332,0.98199,0.279512,0.291964,0.288309,0.21543,0.359849,0.203258,1,17,17
4.02755,81.1026,3.75872,45.4814,1.1043,0.276144,0.352809,0.106685,0.299687,0.290043,0.197315,1,18,18
4.05721,80.0753,3.72865,46.2877,1.09638,0.274821,0.356434,0.0556417,0.252871,0.316514,0.203225,1,19,19
4.21335,69.0002,3.90727,48.1172,1.06659,0.25066,0.316108,0.403497,0.294198,0.302949,0.200756,1,20,20
4.24583,69.9102,3.9447,48.5548,1.08169,0.245299,0.317149,0.40099,0.295178,0.325028,0.20139,1,21,21
4.01331,72.7847,4.11362,54.853,1.01044,0.310382,0.313829,0.330643,0.260717,0.340545,0.20278,1,22,22
3.92989,71.9203,4.02458,58.8349,1.00027,0.319437,0.306548,0.233739,0.233073,0.344388,0.200312,1,23,23
4.03069,74.1422,4.11972,50.5144,1.01401,0.314787,0.346471,0.29651,0.223842,0.322303,0.192457,1,24,24
4.02889,72.0701,4.0282,53.11,0.985448,0.309478,0.337629,0.291042,0.244306,0.295109,0.192512,1,25,25
4.03591,72.0681,4.37797,54.2401,0.998987,0.320782,0.352786,0.373185,0.275973,0.290521,0.197331,1,26,26
3.91196,70.292,4.08556,52.7801,1.04679,0.342238,0.319102,0.274482,0.322817,0.328303,0.193602,1,27,27
3.95006,69.4579,4.01961,53.0875,1.00623,0.33927,0.308064,0.31196,0.259475,0.323116,0.204861,1,28,28
3.96424,68.2856,4.33246,52.6542,1.01406,0.307391,0.37439,0.310663,0.303902,0.318422,0.201217,1,29,29
4.01664,75.3713,3.18534,49.782,1.15651,0.275091,0.34504,0.233866,0.263044,0.300386,0.204874,1,30,30
3.98683,70.856,4.1074,56.6556,1.00808,0.286676,0.317433,0.294175,0.225619,0.281656,0.195944,1,31,31
3.98091,75.7834,3.41968,56.0834,1.12399,0.286452,0.38815500000000003,0.395179,0.287395,0.289485,0.202086,1,32,32
4.05741,68.8092,4.1597,47.9728,1.05303,0.254794,0.302206,0.27034,0.229537,0.297249,0.194475,1,33,33
4.07511,72.5566,3.70761,46.0036,1.07634,0.255012,0.344184,0.105212,0.238291,0.327802,0.201579,1,34,34
4.04695,72.2094,3.94226,49.3336,1.06224,0.265774,0.318408,0.137169,0.292923,0.340875,0.197278,1,35,35
4.00285,75.1277,3.8815,47.9431,1.02508,0.272178,0.308902,0.15586,0.301267,0.34551,0.202108,1,36,36
4.00838,77.9891,3.44319,50.036,1.16716,0.276672,0.317635,0.00733686,0.318626,0.399715,0.198969,1,37,37
3.94437,74.4337,3.98841,49.8565,1.11603,0.283323,0.289749,0.065084,0.332253,0.359677,0.201165,1,38,38
3.99301,70.9067,3.79025,47.223,1.03065,0.281402,0.292772,0.051332,0.315924,0.406714,0.199037,1,39,39
4.0636,72.6099,4.02531,45.1548,1.11051,0.279742,0.285193,0.030242,0.283896,0.318384,0.196483,1,40,40
4.16918,73.4603,3.61381,50.6898,1.12465,0.289647,0.300003,0.111483,0.29529,0.356981,0.202116,1,41,41
4.16671,74.2678,3.99302,48.8547,1.05654,0.256447,0.305565,0.161246,0.19334200000000001,0.320191,0.195806,1,42,42
4.13698,74.4364,3.70773,49.3203,1.13874,0.279362,0.317156,0.203458,0.25644,0.33532,0.20268,1,43,43
4.19028,72.4993,3.97988,51.0846,0.99597,0.266102,0.367399,0.185437,0.258949,0.344903,0.198567,1,44,44
4.18586,70.4195,4.23811,50.9522,1.09989,0.305139,0.333102,0.353116,0.25356,0.30184,0.201115,1,45,45
4.11426,75.1478,3.70481,51.2717,1.08839,0.296194,0.330469,0.257368,0.346251,0.314888,0.197241,1,46,46
4.06703,73.2141,3.65838,49.8857,1.1405,0.302208,0.327659,0.371353,0.314656,0.253942,0.200663,1,47,47
4.11378,73.2396,3.60629,49.9011,1.1118,0.287234,0.307271,0.267052,0.326036,0.25475,0.203289,1,48,48
3.98986,75.3186,3.62811,50.0999,1.11211,0.292697,0.312302,0.237491,0.380769,0.290792,0.194782,1,49,49
4.05094,80.256,3.55864,46.6998,1.11042,0.339816,0.322092,0.116907,0.366516,0.285633,0.197968,1,50,50
4.1158,75.2349,3.48134,50.8805,1.05333,0.321165,0.300776,0.136509,0.375915,0.315579,0.20268,1,51,51
4.14795,71.3781,3.79852,48.0383,1.08358,0.304133,0.319041,0.218886,0.249243,0.300469,0.197571,1,52,52
4.09328,71.1133,3.71048,51.8118,1.07334,0.319247,0.352472,0.251784,0.294945,0.280952,0.198717,1,53,53
4.1571,72.1384,3.66529,49.6746,1.0847,0.317367,0.327097,0.247,0.252207,0.340412,0.20376,1,54,54
4.04023,73.8086,3.56944,48.3875,1.08277,0.2877,0.286613,0.319274,0.291926,0.227999,0.193585,1,55,55
4.12951,71.3722,3.99588,51.6709,1.03795,0.276095,0.374375,0.230228,0.273413,0.280286,0.20274,1,56,56
4.0714,70.334,3.78343,51.7694,0.990477,0.268727,0.339296,0.289175,0.308751,0.270482,0.20155,1,57,57
4.03627,78.0027,3.08549,49.4439,1.18658,0.25529,0.303443,0.262328,0.333647,0.256528,0.20489,1,58,58
3.978,70.3695,3.76118,49.2107,1.01933,0.273356,0.270174,0.288239,0.362345,0.260918,0.197702,1,59,59
4.04345,73.9813,3.49883,49.1888,1.1253,0.269285,0.283619,0.291069,0.25246,0.271734,0.204763,1,60,60
3.98653,73.0828,3.62968,49.7489,1.05229,0.273191,0.29113,0.275723,0.251427,0.258384,0.196559,1,61,61
3.89971,69.6312,3.5461,49.882,0.986484,0.260757,0.330569,0.341245,0.242855,0.255967,0.197129,1,62,62
4.05122,72.1338,3.47585,46.5415,1.09221,0.252801,0.346964,0.267184,0.260043,0.294998,0.200151,1,63,63
4.09378,72.9838,3.72001,47.5557,1.09932,0.25404,0.344281,0.304571,0.279901,0.317569,0.203685,1,64,64
4.01431,68.9289,4.28841,52.0909,1.06381,0.27543,0.305052,0.345647,0.288166,0.277586,0.191876,1,65,65
3.97803,73.0557,3.35942,46.3999,1.14154,0.28508,0.355292,0.301364,0.231868,0.320333,0.205893,1,66,66
4.10203,72.7926,3.93676,49.217,1.07791,0.277104,0.325931,0.220486,0.291181,0.296877,0.189724,1,67,67
4.1427,72.6863,3.72882,46.1504,0.999903,0.277774,0.352655,0.180981,0.326113,0.333807,0.203796,1,68,68
4.13399,77.5578,3.3128,48.1888,1.22107,0.2923,0.308991,0.15416,0.282545,0.333436,0.201636,1,69,69
4.15201,75.2912,3.35565,47.5891,1.05687,0.288352,0.330657,0.235623,0.33883,0.315349,0.197387,1,70,70
4.2262,74.7759,3.58054,50.5245,1.13408,0.290817,0.338876,0.14881,0.2896,0.344241,0.200236,1,71,71
4.29876,76.0549,3.74513,49.7659,1.10297,0.311128,0.319085,0.267209,0.333978,0.342341,0.197994,1,72,72
4.36687,75.2473,4.04432,50.0041,1.13635,0.305195,0.258458,0.190024,0.221549,0.348119,0.200861,1,73,73
4.33537,77.9072,3.92154,47.9702,1.16773,0.303395,0.328173,0.170943,0.243684,0.294986,0.201911,1,74,74
4.21832,73.3038,3.7048,48.9241,1.02606,0.278478,0.322844,0.158407,0.356629,0.269601,0.203414,1,75,75
4.19136,72.6094,3.76468,50.6644,1.00657,0.289624,0.318183,0.0772168,0.322426,0.276147,0.201428,1,76,76
4.21064,75.8275,3.45794,49.436,1.11385,0.28349,0.353301,0.208231,0.412175,0.204302,0.200266,1,77,77
4.19095,74.9158,3.50251,52.4733,1.08432,0.293249,0.358408,0.241879,0.319408,0.233005,0.204217,1,78,78
4.25957,71.411,3.96796,53.8699,1.01047,0.276422,0.33517,0.131838,0.21991,0.247426,0.200119,1,79,79
4.13832,71.6678,3.97381,55.6835,1.0242,0.297335,0.350347,0.215188,0.233607,0.293215,0.196886,1,80,80
4.29799,74.8817,3.43039,51.639,1.07184,0.32651,0.301731,0.292217,0.310088,0.242476,0.204272,1,81,81
4.32076,69.5103,3.81116,53.292,1.04754,0.332597,0.312903,0.212662,0.301381,0.289114,0.195144,1,82,82
4.32231,73.4276,4.08566,50.2993,1.0814,0.316465,0.308023,0.282764,0.3481,0.254655,0.200416,1,83,83
4.3083,75.1932,3.64262,53.0837,1.09141,0.341771,0.296465,0.273862,0.323482,0.309214,0.194108,1,84,84
4.28967,66.6813,4.0158,50.2206,0.943124,0.324115,0.461193,0.36278,0.227426,0.293451,0.199275,1,85,85
4.32132,67.3458,4.29221,50.8095,0.906181,0.331053,0.422613,0.37937,0.263208,0.317424,0.202881,1,86,86
4.26678,69.5985,4.4185,52.0539,1.05455,0.325084,0.296311,0.375556,0.282931,0.362206,0.190753,1,87,87
4.26284,69.1474,4.66764,53.1614,1.0723,0.320759,0.359649,0.367309,0.339235,0.332924,0.199811,1,88,88
4.23545,69.2417,4.40218,52.6738,1.05297,0.32606,0.375133,0.36983,0.357079,0.349345,0.200545,1,89,89
4.18339,67.4907,4.03826,49.1341,1.05036,0.339378,0.351691,0.206842,0.317333,0.312987,0.195743,1,90,90
4.20194,71.0412,4.0471,48.982,1.10097,0.336485,0.350181,0.312346,0.34262,0.327698,0.194848,1,91,91
4.07453,71.363,3.73406,48.1276,1.04895,0.316049,0.302017,0.250792,0.283588,0.303523,0.196972,1,92,92
4.0399,71.2885,3.49438,50.4261,1.05888,0.289822,0.398954,0.310017,0.370612,0.226796,0.201489,1,93,93
