TVVC,TVVMAX,TVKM,TVKA,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
74.2805,1.06724,0.215169,1.10614,0.256894,0.349397,0.00209495,0.4142,0.199873,1,1,1
75.4855,1.0509,0.223381,1.0566,0.29231,0.34194600000000003,0.0053153,0.530657,0.200814,1,2,2
73.1651,1.05685,0.22823,1.02036,0.267439,0.334012,0.0304577,0.381925,0.198645,1,3,3
75.2775,1.04601,0.221372,1.12044,0.277557,0.297884,0.0986951,0.523485,0.203144,1,4,4
75.1759,0.97706,0.2136,0.993968,0.270748,0.348937,0.111748,0.381838,0.198156,1,5,5
75.551,0.983508,0.217053,1.03205,0.274476,0.338135,0.0992403,0.400401,0.198001,1,6,6
74.8537,1.0017,0.226889,1.00839,0.279654,0.346514,0.112738,0.387337,0.20162,1,7,7
73.4911,0.988424,0.230487,1.03169,0.275308,0.361428,0.123262,0.319483,0.199894,1,8,8
71.4777,1.02037,0.242027,1.17972,0.250378,0.321268,0.129083,0.473392,0.200888,1,9,9
72.4216,0.945815,0.213941,0.98405,0.274665,0.328109,0.192143,0.392647,0.200738,1,10,10
73.4347,0.995862,0.242147,1.03051,0.257123,0.31634,0.224156,0.414498,0.201757,1,11,11
74.5867,0.996155,0.238475,1.17297,0.279187,0.332387,0.177253,0.431011,0.200917,1,12,12
74.1109,0.940173,0.208917,1.0332,0.269546,0.338175,0.173307,0.365002,0.19841,1,13,13
72.5056,1.02394,0.23149,1.06789,0.289998,0.352491,0.162512,0.388487,0.202035,1,14,14
73.0505,1.03233,0.244388,1.04756,0.302549,0.354267,0.168598,0.43515,0.201008,1,15,15
74.466,1.01033,0.260233,1.06176,0.297661,0.331401,0.157752,0.374508,0.200688,1,16,16
73.4676,1.04413,0.271766,0.961469,0.283289,0.325138,0.169577,0.379246,0.201831,1,17,17
74.9967,1.00989,0.250164,1.09337,0.292385,0.373613,0.11671,0.508429,0.19856,1,18,18
72.362,1.02227,0.234666,1.04842,0.296452,0.35015,0.0978299,0.293486,0.20094,1,19,19
73.0657,1.02022,0.241939,1.05658,0.293255,0.403195,0.111886,0.372556,0.203851,1,20,20
71.596,0.982653,0.204981,1.03307,0.25477,0.33684,0.0523585,0.285798,0.197744,1,21,21
70.2541,0.979902,0.21295,1.00905,0.263688,0.303093,0.0112565,0.29537,0.20387,1,22,22
72.3433,1.01619,0.232203,1.13362,0.260598,0.308553,0.0120721,0.311277,0.199601,1,23,23
73.3335,1.00066,0.229012,1.10991,0.260985,0.307883,0.0260239,0.2833,0.198386,1,24,24
70.2064,0.983957,0.221182,0.963006,0.288617,0.33527,0.00746616,0.354905,0.203408,1,25,25
72.7917,0.959098,0.206025,0.97747,0.294038,0.313395,0.0338733,0.327144,0.197916,1,26,26
71.7932,1.03419,0.22978,0.972911,0.296245,0.295849,0.0857113,0.349233,0.199145,1,27,27
72.556,1.03136,0.228765,0.938845,0.297035,0.29973,0.0893699,0.409647,0.199794,1,28,28
71.3004,0.976414,0.221688,1.0363,0.299486,0.361677,0.170941,0.298423,0.200522,1,29,29
69.8544,1.01168,0.244376,1.03266,0.311019,0.346811,0.16872500000000001,0.357182,0.201018,1,30,30
71.0717,0.980664,0.249266,1.07373,0.322419,0.330275,0.266223,0.366787,0.201604,1,31,31
70.9352,1.01374,0.255795,1.01324,0.32199,0.336616,0.222967,0.407515,0.199037,1,32,32
73.1507,1.01254,0.25133,1.07803,0.307217,0.344473,0.302255,0.371051,0.202291,1,33,33
72.3336,1.016,0.253295,1.00689,0.297936,0.357832,0.291786,0.35395,0.198461,1,34,34
72.003,1.01915,0.251273,1.0531,0.298277,0.357342,0.281626,0.424546,0.199332,1,35,35
73.1823,0.994154,0.241122,1.03004,0.30808,0.338727,0.19787,0.325731,0.200282,1,36,36
72.2656,1.02412,0.244678,1.08277,0.301382,0.347822,0.206993,0.385241,0.200524,1,37,37
72.7522,0.948282,0.206755,1.01416,0.235324,0.376729,0.150061,0.332659,0.199326,1,38,38
74.2168,1.02213,0.24536,1.10369,0.257774,0.349187,0.149356,0.324386,0.200387,1,39,39
74.5997,1.00991,0.23957,1.10686,0.253196,0.368903,0.145128,0.332097,0.200405,1,40,40
74.5815,1.02032,0.249266,0.949861,0.302696,0.375543,0.0374118,0.306864,0.200243,1,41,41
72.3306,0.983585,0.21723,1.15227,0.26527,0.324089,0.0940402,0.282714,0.201172,1,42,42
71.435,0.982569,0.235177,0.979465,0.27587,0.313464,0.13275,0.425792,0.199104,1,43,43
72.2632,0.949829,0.234858,1.12492,0.314149,0.342006,0.131628,0.3343,0.20209,1,44,44
70.8583,0.968786,0.232379,1.04924,0.327525,0.35877,0.0746954,0.437496,0.198749,1,45,45
70.8729,0.976366,0.230031,0.996213,0.306024,0.31451,0.0544193,0.446251,0.200838,1,46,46
73.2627,0.948874,0.197522,1.09153,0.27699,0.317051,0.0572945,0.336741,0.205111,1,47,47
70.9752,0.96425400000000006,0.232363,0.990643,0.261101,0.338241,0.0589085,0.29141,0.198386,1,48,48
71.2975,0.94644,0.226442,1.11267,0.26222,0.334032,0.0632788,0.33389,0.199193,1,49,49
70.8462,0.952913,0.253648,0.98042,0.271166,0.322458,0.0518436,0.2936,0.20207,1,50,50
73.6541,0.8767,0.229381,1.04939,0.278227,0.412507,0.154399,0.289373,0.199439,1,51,51
72.1974,0.922426,0.214761,1.0385,0.278135,0.345343,0.0975624,0.345386,0.203108,1,52,52
72.5496,0.982666,0.232609,0.995633,0.29673,0.332718,0.0948622,0.389502,0.199589,1,53,53
71.956,0.996537,0.237902,1.01838,0.316545,0.328989,0.127925,0.378529,0.201878,1,54,54
72.1953,1.00455,0.242726,1.04246,0.288126,0.294717,0.116581,0.344001,0.197947,1,55,55
75.1679,0.969692,0.226184,1.0218,0.31244,0.322965,0.122179,0.324955,0.199363,1,56,56
72.4535,0.980779,0.213988,1.03771,0.314699,0.333251,0.100865,0.374163,0.202927,1,57,57
73.161,0.997667,0.243225,1.09304,0.320146,0.338473,0.103597,0.325904,0.199173,1,58,58
71.9138,0.963569,0.216046,1.07781,0.291898,0.343911,0.0946899,0.352607,0.200963,1,59,59
69.579,0.944439,0.234978,1.0386,0.276326,0.398037,0.046714,0.327677,0.199881,1,60,60
69.0161,0.967687,0.240515,0.947593,0.280943,0.387053,0.00209322,0.306062,0.204662,1,61,61
70.1915,0.92138,0.215355,1.08718,0.283145,0.416294,1.12499e-4,0.272347,0.202787,1,62,62
70.7581,0.929854,0.224346,1.01471,0.276117,0.429108,0.0114141,0.33956,0.198414,1,63,63
72.1186,0.927769,0.240605,1.03569,0.306234,0.366673,0.0354163,0.341006,0.201511,1,64,64
73.5778,0.919988,0.227763,1.0742,0.312157,0.362879,0.057536,0.293719,0.202483,1,65,65
73.5772,0.92674,0.220507,1.05403,0.29242,0.406737,0.0721881,0.377407,0.198716,1,66,66
74.1269,0.904279,0.214586,1.10298,0.27718,0.401399,0.0615784,0.371437,0.19985,1,67,67
74.8037,0.904655,0.207961,1.06907,0.294742,0.398295,0.0732691,0.48592,0.200783,1,68,68
74.649,0.904601,0.208838,1.09165,0.277276,0.376095,0.0220559,0.443996,0.202757,1,69,69
73.5833,0.92299,0.222706,1.00768,0.278465,0.374551,0.00287729,0.333874,0.198825,1,70,70
73.0538,0.945701,0.22934,1.19568,0.310179,0.363779,0.00489271,0.464792,0.201485,1,71,71
74.4495,0.933718,0.229229,1.05936,0.285719,0.424775,0.0104373,0.385028,0.197755,1,72,72
75.4599,0.904779,0.223673,1.0392,0.290454,0.393288,0.0435729,0.256524,0.20278,1,73,73
76.8642,0.891941,0.219417,1.10593,0.280175,0.411041,0.0560137,0.292172,0.199229,1,74,74
73.0813,0.970664,0.243704,1.04905,0.272839,0.369734,0.0287291,0.525026,0.199041,1,75,75
75.6462,1.00182,0.236637,1.07539,0.290166,0.362722,0.122648,0.34088,0.198957,1,76,76
76.4936,1.04328,0.259205,1.02164,0.306619,0.38396,0.0818446,0.427912,0.199745,1,77,77
77.4369,1.03945,0.257377,1.03099,0.310192,0.384889,0.0765487,0.43761100000000003,0.19996,1,78,78
77.415,0.939848,0.211167,1.08085,0.301823,0.361607,0.0491544,0.301768,0.201182,1,79,79
74.6555,1.03502,0.233857,1.03028,0.292277,0.339267,0.0325551,0.347975,0.199211,1,80,80
75.6978,1.02642,0.230156,1.07012,0.300806,0.329285,0.0532759,0.365087,0.198237,1,81,81
74.6816,1.03054,0.234204,1.10759,0.317489,0.359069,0.0193599,0.359738,0.202185,1,82,82
73.7517,1.03026,0.221751,0.943505,0.283251,0.314963,0.0241133,0.291631,0.200003,1,83,83
74.4814,1.00227,0.212527,1.00544,0.309843,0.304251,0.0523322,0.379626,0.196992,1,84,84
74.332,1.00734,0.217624,1.01098,0.299116,0.302156,0.0518043,0.358709,0.1974,1,85,85
73.4645,0.969554,0.217509,1.06473,0.29538,0.33501,0.0606637,0.398586,0.198901,1,86,86
73.1567,1.01724,0.223149,1.05737,0.30128,0.340289,0.175532,0.426409,0.201255,1,87,87
72.865,0.953927,0.221795,0.907053,0.28655,0.305093,0.127092,0.260338,0.199323,1,88,88
73.7291,0.958477,0.229737,1.05801,0.320343,0.341112,0.101229,0.347072,0.20536,1,89,89
72.269,0.993284,0.249883,0.964078,0.326218,0.352884,0.0643005,0.354412,0.19848,1,90,90
73.1545,0.965633,0.224331,1.00153,0.320419,0.299299,0.0925762,0.41505,0.199339,1,91,91
74.6755,0.940778,0.212016,1.10624,0.287979,0.351472,0.176383,0.404125,0.199729,1,92,92
72.0532,1.01338,0.261241,1.02664,0.314639,0.364205,0.126508,0.340728,0.201491,1,93,93
73.5827,1.0076,0.265657,0.915556,0.30748,0.36111,0.141935,0.383093,0.196129,1,94,94
75.5755,0.948948,0.23142,1.13442,0.309301,0.398179,0.0637304,0.387521,0.200953,1,95,95
75.0757,0.947914,0.230608,1.13728,0.305487,0.400832,0.127213,0.388243,0.201403,1,96,96
74.4864,0.98876,0.26731,1.02119,0.324824,0.373979,0.145171,0.348129,0.200158,1,97,97
74.1691,0.945253,0.234094,1.10851,0.299087,0.391896,0.130908,0.352028,0.19951,1,98,98
71.1337,0.954764,0.211641,0.962632,0.27255,0.381615,0.159618,0.362572,0.20154,1,99,99
71.108,0.911915,0.205415,1.05346,0.273784,0.379799,0.117678,0.35312,0.199998,1,100,100
71.7474,0.914604,0.214981,1.13728,0.28015,0.374829,0.175047,0.308255,0.197891,1,101,101
69.3597,1.03533,0.24427,0.86194,0.317755,0.386923,0.0394966,0.40856,0.19999,1,102,102
69.6792,1.03912,0.245822,0.868612,0.300386,0.375633,0.0352274,0.448105,0.203104,1,103,103
70.1132,1.03658,0.239448,1.09534,0.308084,0.362878,0.0751577,0.375667,0.198285,1,104,104
70.7671,1.00828,0.221148,0.934168,0.307535,0.347371,0.101939,0.342696,0.201148,1,105,105
69.6578,0.990149,0.237646,1.06677,0.326072,0.325532,0.0994516,0.389384,0.200242,1,106,106
71.0672,0.941687,0.209282,0.946219,0.277297,0.379112,0.113776,0.4154,0.199769,1,107,107
69.738,0.998264,0.226615,1.03955,0.289103,0.333252,0.186927,0.274686,0.202371,1,108,108
