TVVC,TVVMAX,TVKM,TVKA,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
65.9341,0.961515,0.255559,1.01136,0.328332,0.284297,0.130154,0.306557,0.210099,1,1,1
66.5073,0.889542,0.242717,0.987406,0.318396,0.310464,0.123913,0.3124,0.192015,1,2,2
70.0533,0.9026,0.240525,1.02834,0.301244,0.368778,0.0573254,0.282221,0.206691,1,3,3
69.0606,0.900163,0.226806,1.05739,0.310381,0.313422,0.134987,0.302362,0.195197,1,4,4
69.4329,0.967022,0.266994,1.03593,0.31621,0.31149,0.170857,0.280113,0.198806,1,5,5
68.1519,0.943865,0.255963,0.973942,0.313874,0.381298,0.0627371,0.27921,0.204548,1,6,6
67.4209,0.917556,0.246967,1.00568,0.296404,0.378026,0.111164,0.264688,0.205731,1,7,7
66.9175,0.923053,0.258,0.973369,0.302659,0.400477,0.114827,0.309877,0.202355,1,8,8
65.63,0.941402,0.272197,0.976933,0.30961,0.3471,0.0901283,0.267587,0.201727,1,9,9
67.2151,0.838915,0.221223,0.983867,0.309862,0.324722,0.0536845,0.282162,0.204386,1,10,10
66.64,0.875852,0.240726,1.014,0.302154,0.323909,0.125588,0.25632,0.201175,1,11,11
66.0905,0.867896,0.228425,1.02172,0.315339,0.27993,0.200673,0.273399,0.203554,1,12,12
66.632,0.859727,0.225732,1.03493,0.315894,0.280678,0.198257,0.264849,0.205287,1,13,13
66.4133,0.884386,0.221843,1.00679,0.306275,0.317839,0.182537,0.265621,0.202454,1,14,14
66.5615,0.891124,0.229305,1.02801,0.322167,0.298832,0.18922,0.290225,0.199854,1,15,15
67.2164,0.840668,0.211496,1.03752,0.320123,0.293476,0.209281,0.276253,0.195985,1,16,16
64.2752,0.889177,0.238771,0.987021,0.342096,0.263081,0.296564,0.284475,0.202152,1,17,17
66.9804,0.888832,0.240458,1.07956,0.327629,0.254926,0.274628,0.300137,0.198098,1,18,18
65.0363,0.991396,0.233227,0.996589,0.333836,0.225257,0.281393,0.346621,0.203183,1,19,19
67.2508,0.89899,0.256269,1.09027,0.30085,0.325926,0.239252,0.299971,0.198714,1,20,20
66.2788,0.930179,0.263687,0.978452,0.317366,0.31917,0.213214,0.27776,0.202477,1,21,21
67.5671,0.946187,0.277393,1.00956,0.321619,0.263917,0.259077,0.304741,0.19822,1,22,22
68.5628,0.937009,0.256162,0.992373,0.307558,0.262671,0.237384,0.340314,0.196651,1,23,23
67.8994,0.910329,0.250972,0.958139,0.309293,0.319163,0.246084,0.327129,0.197638,1,24,24
68.6543,0.940547,0.287612,1.01922,0.300261,0.255573,0.26859,0.29326,0.204697,1,25,25
68.928,0.871675,0.249007,1.02612,0.332467,0.345748,0.21775,0.266985,0.196078,1,26,26
68.3127,0.907435,0.258605,1.11416,0.34366,0.253639,0.281008,0.250766,0.203506,1,27,27
65.5782,0.926711,0.219099,0.977492,0.297322,0.423488,0.248694,0.23863,0.204931,1,28,28
65.8624,0.952281,0.2717,1.05548,0.298618,0.281675,0.164282,0.319011,0.202506,1,29,29
64.4694,1.01367,0.303402,1.02578,0.308003,0.259185,0.231226,0.298353,0.198807,1,30,30
65.1279,1.02177,0.318309,0.990103,0.308546,0.315765,0.255852,0.301197,0.201767,1,31,31
65.2528,1.0267,0.312194,1.02907,0.306281,0.274165,0.274621,0.284047,0.19755,1,32,32
67.3676,0.896997,0.225635,1.00041,0.332414,0.352767,0.286971,0.269237,0.20685,1,33,33
67.1123,0.932266,0.257955,1.04127,0.31238,0.356089,0.235845,0.246856,0.200325,1,34,34
68.2254,0.995049,0.275888,0.992987,0.316651,0.358474,0.270365,0.278729,0.208658,1,35,35
67.1793,0.934338,0.236567,1.01871,0.304859,0.331892,0.168362,0.267598,0.197558,1,36,36
66.9354,0.998895,0.267752,0.952396,0.325709,0.394859,0.179908,0.328364,0.204839,1,37,37
68.5664,0.92444,0.22266,1.03948,0.30628,0.479511,0.269245,0.258905,0.197368,1,38,38
68.875,0.903667,0.225598,1.03405,0.312909,0.282059,0.227307,0.260686,0.21065,1,39,39
68.4898,0.890949,0.230957,1.01929,0.320463,0.302881,0.264242,0.273749,0.201305,1,40,40
68.5952,0.887378,0.232912,1.04932,0.31187,0.345159,0.252419,0.267268,0.202561,1,41,41
69.8914,0.915416,0.229983,0.996598,0.344015,0.312855,0.203786,0.288181,0.19943,1,42,42
69.2529,0.906159,0.230533,1.03615,0.338096,0.403479,0.210728,0.331979,0.20245,1,43,43
68.2285,0.901117,0.241139,0.998063,0.353687,0.383055,0.210195,0.308527,0.204443,1,44,44
69.3859,0.887906,0.227742,1.0333,0.380478,0.311653,0.312603,0.317314,0.196831,1,45,45
70.1813,0.949434,0.265968,0.998272,0.377865,0.36467,0.24652,0.257996,0.203647,1,46,46
67.1544,1.01207,0.26755,0.995839,0.35308,0.36397,0.226062,0.254666,0.197358,1,47,47
68.4968,0.9567,0.263782,1.02054,0.338052,0.341914,0.174803,0.297594,0.203519,1,48,48
70.0438,0.931286,0.247867,0.993845,0.323695,0.322053,0.177128,0.316272,0.199784,1,49,49
70.3678,0.891401,0.246319,1.01593,0.283929,0.338725,0.1609,0.280962,0.196419,1,50,50
68.5191,0.939515,0.247738,1.00438,0.304632,0.422032,0.146059,0.307958,0.205193,1,51,51
67.4997,0.943535,0.241503,0.994676,0.295123,0.331069,0.125016,0.273203,0.200333,1,52,52
69.8062,0.978985,0.28109,0.965797,0.305233,0.322,0.215777,0.298824,0.200084,1,53,53
70.5022,0.944303,0.261597,1.03087,0.284011,0.355818,0.0864331,0.257698,0.202,1,54,54
67.7383,1.02758,0.262827,1.00836,0.301553,0.400683,0.168868,0.302854,0.201712,1,55,55
69.0604,0.956877,0.23785800000000001,0.980037,0.301594,0.325631,0.0995792,0.271879,0.203695,1,56,56
69.2464,0.917287,0.248612,1.05512,0.296084,0.359471,0.0952253,0.288945,0.209837,1,57,57
67.3311,0.912633,0.225798,1.00238,0.286857,0.313924,0.127851,0.278002,0.207931,1,58,58
68.315,0.954924,0.258903,1.00179,0.325496,0.33009,0.161041,0.295183,0.196894,1,59,59
65.3622,0.934582,0.255691,0.969751,0.314516,0.260638,0.218534,0.266599,0.202655,1,60,60
68.8859,0.926066,0.240071,1.00434,0.299804,0.31168,0.255717,0.294523,0.200708,1,61,61
66.2377,0.976896,0.282704,1.01329,0.335394,0.326856,0.2245,0.329643,0.201125,1,62,62
66.9992,0.910329,0.241059,0.991521,0.313416,0.273254,0.214449,0.2934,0.209007,1,63,63
67.3366,0.883139,0.238434,1.02304,0.309954,0.258646,0.236764,0.293951,0.203227,1,64,64
67.2974,0.880091,0.239143,1.02536,0.313271,0.255678,0.239635,0.2958,0.203025,1,65,65
66.5486,0.944162,0.254392,1.00203,0.31502,0.319529,0.233041,0.346823,0.204192,1,66,66
68.112,0.841371,0.218869,1.0008,0.334155,0.311074,0.225768,0.282886,0.20052,1,67,67
68.0905,0.961258,0.264433,1.00006,0.326623,0.311596,0.238613,0.295847,0.200039,1,68,68
67.2098,0.824336,0.193263,1.04682,0.313136,0.389702,0.198903,0.321887,0.202393,1,69,69
65.0776,0.87116,0.218237,1.02836,0.300093,0.306536,0.228254,0.273719,0.198749,1,70,70
66.2591,0.919997,0.245417,1.02549,0.281905,0.282724,0.237269,0.30758,0.200259,1,71,71
66.784,0.917163,0.245265,0.961775,0.320929,0.324444,0.25958,0.302193,0.202351,1,72,72
69.2817,0.907006,0.237652,1.0127,0.285477,0.261583,0.286126,0.298302,0.200066,1,73,73
70.085,0.868812,0.246799,1.03888,0.29309,0.400082,0.291416,0.279051,0.200457,1,74,74
71.0442,0.889196,0.229527,1.03315,0.330241,0.387418,0.305721,0.256853,0.201623,1,75,75
70.4763,1.0138,0.268588,1.03042,0.283613,0.321399,0.257371,0.272008,0.204179,1,76,76
71.3338,1.01632,0.271628,1.04311,0.288568,0.282984,0.316907,0.295205,0.202606,1,77,77
69.4175,0.898869,0.220065,0.94409,0.289659,0.393736,0.196,0.288759,0.202895,1,78,78
66.8191,1.06045,0.321121,0.942368,0.313653,0.303821,0.206618,0.323859,0.19536,1,79,79
67.067,1.04662,0.299249,0.965227,0.303114,0.304693,0.204758,0.310223,0.193223,1,80,80
64.8957,0.95393,0.269741,1.05375,0.298618,0.30958,0.221761,0.302336,0.206578,1,81,81
65.0616,0.992356,0.304135,1.00259,0.313,0.243482,0.261743,0.322943,0.198738,1,82,82
67.0928,0.882465,0.236703,0.982435,0.311305,0.334,0.116002,0.318273,0.20726,1,83,83
67.1134,0.890422,0.250228,1.01705,0.312063,0.26374,0.204977,0.323514,0.202742,1,84,84
67.8324,0.924568,0.250623,1.03254,0.312619,0.272298,0.16429,0.309187,0.203643,1,85,85
67.6987,0.898596,0.24097,1.03302,0.341452,0.263847,0.145032,0.284118,0.200054,1,86,86
67.6358,0.8646,0.231461,1.0331,0.333866,0.277925,0.141211,0.28295,0.198203,1,87,87
67.3837,0.853544,0.238968,1.00101,0.356552,0.234515,0.249581,0.339081,0.202863,1,88,88
63.5882,0.907726,0.238985,1.02425,0.325712,0.30804,0.242444,0.279931,0.204981,1,89,89
64.4463,0.947253,0.251566,0.941723,0.33875,0.29007,0.146056,0.306332,0.201389,1,90,90
64.8208,0.942195,0.263689,1.00576,0.337001,0.348192,0.137484,0.291086,0.206383,1,91,91
65.0599,0.943877,0.274334,0.997463,0.321415,0.329758,0.171477,0.286691,0.198329,1,92,92
67.8696,0.835793,0.216699,1.11705,0.311254,0.253316,0.306329,0.351588,0.204143,1,93,93
69.2882,0.86674,0.227856,1.01528,0.325841,0.293744,0.146392,0.233975,0.20296,1,94,94
68.5473,0.89646,0.236206,1.04573,0.358222,0.291391,0.235015,0.283303,0.201999,1,95,95
68.3599,0.904507,0.236409,1.02499,0.308462,0.307498,0.162392,0.290665,0.202708,1,96,96
69.3334,0.866222,0.232338,0.998587,0.339641,0.303441,0.197281,0.287364,0.201957,1,97,97
66.427,0.960482,0.270271,1.02173,0.31568,0.239139,0.317077,0.267255,0.202721,1,98,98
65.9091,0.952301,0.280469,1.00048,0.319073,0.256119,0.34677,0.2705,0.203581,1,99,99
66.9042,0.969629,0.308201,1.01519,0.326939,0.234863,0.345422,0.262458,0.206,1,100,100
67.1308,0.982121,0.311667,1.01659,0.31643,0.232851,0.345027,0.261094,0.205299,1,101,101
65.5488,0.971549,0.297598,0.969295,0.328868,0.246681,0.30694,0.27569,0.202382,1,102,102
65.3873,0.905843,0.259373,1.0178,0.294492,0.23535,0.325954,0.309647,0.201476,1,103,103
63.8408,0.982949,0.284998,1.00963,0.303475,0.234842,0.271857,0.311339,0.202306,1,104,104
64.6918,0.957533,0.28364,1.02399,0.30362,0.251591,0.26063,0.327994,0.20415,1,105,105
64.5594,0.885451,0.246913,1.00568,0.309788,0.262346,0.255753,0.318857,0.1983,1,106,106
65.1153,0.886557,0.255578,1.00188,0.315762,0.239259,0.237246,0.265711,0.202063,1,107,107
65.102,0.884018,0.246216,0.99889,0.309973,0.258011,0.209846,0.271601,0.200836,1,108,108
66.3096,0.891408,0.243661,1.02109,0.305551,0.27511,0.212875,0.356443,0.202278,1,109,109
65.0785,0.889109,0.259782,1.00831,0.246699,0.348004,0.269054,0.267235,0.201941,1,110,110
64.6718,0.886782,0.25688,1.01845,0.245398,0.349344,0.271974,0.258223,0.20156,1,111,111
67.4221,0.931643,0.256682,0.975629,0.307376,0.280957,0.282952,0.350205,0.204999,1,112,112
66.9143,0.900936,0.250374,0.961888,0.305186,0.308391,0.317909,0.306519,0.203543,1,113,113
67.1641,0.922389,0.25472,0.951919,0.307881,0.292071,0.334039,0.309251,0.203736,1,114,114
68.1829,0.859881,0.221069,0.95768,0.3143,0.304549,0.28773,0.320311,0.195453,1,115,115
67.8194,0.997448,0.278593,1.15195,0.341853,0.355665,0.346355,0.390264,0.199539,1,116,116
68.543,0.934254,0.265662,1.05669,0.326464,0.271337,0.397675,0.275694,0.202097,1,117,117
67.2909,0.941742,0.258988,1.00796,0.321154,0.329795,0.419066,0.273371,0.203733,1,118,118
67.3231,0.967427,0.271634,1.02249,0.329033,0.310667,0.438999,0.271801,0.19999,1,119,119
68.9871,0.960748,0.281186,1.05703,0.328681,0.229219,0.323027,0.290258,0.200082,1,120,120
67.2573,0.945865,0.263922,1.0003,0.320633,0.244057,0.341423,0.276875,0.200298,1,121,121
