ID,CL,VC,VMAX,KM,KA
1,0,84.5857,0.559025,0.448742,0.743094
2,0,78.3964,1.02363,0.257731,0.888842
3,0,77.0872,0.502844,0.243846,0.819152
4,0,90.1454,1.17882,0.18137,1.00303
5,0,61.4225,1.75306,0.308775,0.913998
6,0,86.9429,1.54814,0.27998,1.29697
7,0,105.641,1.00739,0.148573,0.498981
8,0,55.606,1.29822,0.211773,1.0749
9,0,72.9276,0.702565,0.223861,1.5866
10,0,61.5133,1.0246,0.107876,0.97133100000000006
11,0,44.5924,0.92854,0.355028,0.68248
12,0,56.421,1.16276,0.190691,0.921938
13,0,73.1411,1.50107,0.343357,0.911515
14,0,68.7486,1.29087,0.320514,1.23868
15,0,59.0005,1.49625,0.24239,0.885625
16,0,49.2096,2.22062,0.298364,0.981802
17,0,46.7614,0.715204,0.182825,0.950132
18,0,68.2614,1.10987,0.179214,1.72603
19,0,125.717,0.97595,0.308396,0.541398
20,0,53.9866,0.697262,0.145944,0.843695
21,0,93.9235,0.851783,0.309822,0.675954
22,0,54.6276,1.43914,0.296751,1.11606
23,0,136.55,0.692005,0.218949,0.652045
24,0,70.1253,1.55496,0.34279,1.25341
25,0,87.1778,1.43796,0.284206,1.51609
26,0,107.099,1.41661,0.274319,1.43142
27,0,62.2437,0.994488,0.195134,1.55217
28,0,70.8081,0.554218,0.53626,1.25872
29,0,51.8739,1.24912,0.20983,0.354837
30,0,76.0462,0.819927,0.255145,2.06639
31,0,73.3018,1.67624,0.218623,0.925441
32,0,85.0741,1.13341,0.218941,0.797656
33,0,67.091,0.547334,0.415337,0.7991
34,0,75.5115,1.13463,0.488443,0.835579
35,0,52.2768,1.24552,0.325491,0.851744
36,0,70.6623,0.726015,0.229243,0.763085
37,0,82.0717,0.631977,0.214732,0.741297
38,0,97.1562,1.60356,0.333699,0.895592
39,0,77.687,1.16601,0.192411,0.556158
40,0,46.0003,0.73911,0.16707,1.48574
41,0,52.6245,0.763771,0.347136,1.11168
