ID,CL,VC,VMAX,KM,KA
1,0,149.973,1.78981,0.180536,1.30578
2,0,68.2151,1.13578,0.263664,0.688148
3,0,79.9703,1.53023,0.337669,1.20787
4,0,66.6574,1.68401,0.322503,1.39097
5,0,41.9403,0.8055,0.208179,0.953537
6,0,50.5046,1.18973,0.420971,0.648712
7,0,43.3214,1.41671,0.262277,1.04652
8,0,71.1914,1.28544,0.391757,1.90098
9,0,71.9281,0.470983,0.249162,1.02775
10,0,33.5471,0.825182,0.239373,0.940936
11,0,60.1724,0.918959,0.23274,0.783467
12,0,93.4893,0.637179,0.245356,0.833884
13,0,53.5147,1.11453,0.230105,1.04679
14,0,33.6455,1.37403,0.275124,0.889386
15,0,60.6484,0.954433,0.37047,1.2815
16,0,78.3237,0.829601,0.223916,0.97462
17,0,71.5347,0.614847,0.220108,0.855073
18,0,67.3731,0.782248,0.357155,1.16997
19,0,59.9567,1.32841,0.295905,0.9909
20,0,57.1613,1.5431,0.174055,0.776794
21,0,150.156,0.84784,0.289384,0.795693
22,0,79.4,0.666132,0.208213,1.13919
23,0,111.749,1.32134,0.238522,0.603775
24,0,110.536,1.24704,0.23969,0.654871
25,0,91.253,1.20188,0.231878,1.27575
26,0,53.2422,0.899375,0.248161,1.2156
27,0,61.0165,1.12927,0.297514,0.718472
28,0,42.4919,1.01202,0.403045,0.631408
29,0,61.9767,0.833308,0.262388,1.04241
30,0,71.5745,0.893432,0.324269,2.05784
31,0,89.3835,0.628513,0.307975,1.25289
32,0,64.0102,0.999148,0.20752,0.952056
33,0,65.2661,1.12997,0.204169,0.851707
34,0,35.9772,0.969437,0.342376,0.922198
35,0,41.2627,0.71329,0.272679,1.30145
36,0,46.1748,0.60022,0.355335,0.681954
37,0,69.7244,1.09087,0.217814,0.960126
38,0,63.7579,1.0113,0.211534,1.22868
39,0,36.9368,0.730151,0.261901,0.948966
40,0,59.3228,1.27058,0.227194,1.10812
41,0,60.5168,0.626448,0.233017,0.936881
42,0,110.092,1.32663,0.270452,0.994724
43,0,74.3571,0.894435,0.283499,0.980095
44,0,52.112,0.913431,0.20756,0.507911
45,0,44.3572,1.08234,0.242898,0.782613
46,0,93.1824,0.843785,0.274859,0.621606
47,0,74.2297,1.7921,0.200656,0.937746
48,0,124.299,0.920734,0.396484,1.37593
49,0,67.8863,2.25734,0.224984,0.764277
50,0,81.6206,0.506082,0.230321,1.03952
51,0,59.9594,0.869724,0.365376,0.775604
52,0,81.0066,0.813015,0.323284,1.07142
53,0,112.013,0.813874,0.299198,1.336
54,0,83.4877,0.897081,0.296147,0.870993
55,0,139.941,0.763177,0.240561,1.31044
56,0,71.2973,1.17309,0.483075,1.11051
