ID,CL,VC,VMAX,KM,KA
1,0,63.3645,1.10823,0.22843,0.86701
2,0,57.6523,1.55866,0.284065,0.857126
3,0,98.0079,0.958938,0.250838,0.715603
4,0,42.0009,0.913479,0.327699,0.807775
5,0,63.9767,1.22836,0.220784,0.788561
6,0,49.012,0.766712,0.243915,1.00445
7,0,35.5382,1.21356,0.480842,0.709844
8,0,49.2711,1.00834,0.264146,1.07868
9,0,68.762,0.751914,0.238792,0.616147
10,0,51.1448,0.645216,0.244466,0.965278
11,0,42.6216,0.857541,0.207947,0.782072
12,0,62.9748,0.780053,0.186752,0.824167
13,0,54.2362,1.75383,0.346159,0.817216
14,0,78.7913,0.919103,0.369148,0.698079
15,0,67.1091,1.04059,0.204909,1.17255
16,0,54.7379,0.842131,0.382179,0.926303
17,0,57.216,1.11822,0.189436,1.00542
18,0,56.6619,1.0337,0.456088,1.64641
19,0,40.8346,1.86863,0.161076,0.590886
20,0,54.936,0.948159,0.190922,2.34811
21,0,61.9411,0.961001,0.232421,0.590729
22,0,63.4973,1.02067,0.240069,0.915058
23,0,56.0002,1.75104,0.315542,1.16012
24,0,62.0963,0.843707,0.200032,1.47722
25,0,61.5733,0.769815,0.299211,1.21749
26,0,51.5814,1.04093,0.179528,1.02491
27,0,60.3625,0.828053,0.29961,1.20758
28,0,43.2956,1.15147,0.323337,1.66801
29,0,58.2057,1.14954,0.219702,0.755908
30,0,66.714,1.07425,0.378527,0.622428
31,0,58.0447,0.777061,0.206212,0.792574
32,0,47.682,1.6618,0.231595,1.04976
33,0,78.309,0.572087,0.211469,0.860313
34,0,50.9371,1.06034,0.173919,1.18327
35,0,105.449,1.32687,0.132848,1.12273
36,0,109.812,1.16604,0.370031,0.705647
37,0,84.2253,1.53899,0.280305,0.872215
38,0,30.9547,0.78921,0.222847,0.995086
39,0,80.2585,1.20347,0.264904,1.11568
40,0,84.6378,1.31201,0.346606,0.996683
41,0,61.4061,0.978065,0.378608,0.625654
42,0,77.3699,0.886098,0.213743,1.57631
