parameters,2.5%,25.0%,50.0%,75.0%,97.5%
θ₁,2.0535400339680705,2.292196749587068,2.40610393223003,2.5124367160111514,2.7326115007823177
θ₂,2.720080539312092,2.979115125989596,3.0980575719138166,3.2205322621533568,3.44899882863558
θ₃,2.951834126268534,3.2370738674909556,3.379437828554212,3.5139064787616396,3.77555413707158
θ₄,4.3762640993794255,4.624379922042325,4.745562278094193,4.865431045363119,5.124166851070731
θ₅,0.10157421962361743,0.37952498864037887,0.5245229032073013,0.6662291757972056,0.9352708004765407
θ₆,4.528244557385118,4.6934200937598405,4.777264263876107,4.86776193328305,5.037194122503237
θ₇,1.4484794754479806,1.6329386579361378,1.7242264058709167,1.81052380168137,1.971513592455279
θ₈,-8.42254098868729,-8.176474940330682,-8.055025518971979,-7.938172587400364,-7.710410170346801
θ₉,-2.0511123801292346,-1.9497377134602654,-1.8934208053250092,-1.839042599397028,-1.7421957885740087
θ₁₀,-2.387360330292272,-2.330745937501625,-2.2998644608681316,-2.269329262749695,-2.206931062409492
θ₁₁,-2.360900022420208,-2.2835732159762716,-2.2420642029626543,-2.201968272906983,-2.118396582950169
Ω₁,₁,0.0694625686288322,0.1163585012010152,0.16182049296534348,0.2345337973419265,0.5364963560762547
Ω₂,₁,-0.22469164232173702,-0.0671492197444195,-0.023214933703275892,0.012596155292196013,0.14764326390510696
Ω₃,₁,-0.17926052298854253,-0.03812052669988233,-0.0022671260386220964,0.03466978645461019,0.18044362517281304
Ω₄,₁,-0.1286861627566808,-0.0030519916526763223,0.0350477485502421,0.08094290631494844,0.25203332680410095
Ω₅,₁,-0.1730753774033767,-0.03715398137604061,-0.0015019545027733297,0.03672837034551202,0.18995090795350947
Ω₆,₁,-0.19819993037025205,-0.04737794037075291,-0.014477398688173897,0.01632887276790093,0.12066834348694414
Ω₇,₁,-0.12828614478666883,-0.019535841089044548,0.013169759104743717,0.048739590844369005,0.1965585023523241
Ω₈,₁,-0.10315595529472757,-0.001489110187955556,0.03037301798056303,0.07299312916377042,0.23998196826176107
Ω₂,₂,0.07955109549502269,0.1345499595753015,0.188714114934055,0.2671097356278257,0.5921198461230034
Ω₃,₂,-0.19799276054646747,-0.04645156705622501,-0.005574942297921888,0.031719634192479175,0.1698256092502046
Ω₄,₂,-0.30172449553628344,-0.09610095708622501,-0.04542141330046426,-0.0033014822302321676,0.11674285570897824
Ω₅,₂,-0.18289770826326063,-0.037775149060355055,0.0008684984141185413,0.04222640178312891,0.18575482914218489
Ω₆,₂,-0.14036301492533493,-0.024253198918298306,0.009569905879186156,0.04514818591074271,0.17221832249307015
Ω₇,₂,-0.12043374619650765,-0.013169594988916292,0.02319870074759841,0.06483653028504252,0.2293410812801854
Ω₈,₂,-0.21446281976960613,-0.05430093212222615,-0.012099107661231047,0.025934018905787497,0.1552682661811682
Ω₃,₃,0.05946084662856427,0.10222985106430262,0.14388776433184824,0.2118652371185887,0.49280853119931983
Ω₄,₃,-0.2077266290774524,-0.043960871401317464,-0.00011294599723510773,0.040585352865514096,0.17936844934375543
Ω₅,₃,-0.12121552766822671,-0.016215912776470946,0.01590599067202773,0.05529904090865812,0.21806146076807256
Ω₆,₃,-0.13431601571226437,-0.027396926554081956,0.003310078198717943,0.03328045401893936,0.15373830143998146
Ω₇,₃,-0.16000813750136067,-0.03617566103828956,-0.0020994081399927883,0.0319582928678562,0.16104507633134885
Ω₈,₃,-0.15896431408021947,-0.03487586458094041,0.001051567336285068,0.03666446040763146,0.17470533175489394
Ω₄,₄,0.08589425948614811,0.1484949092326076,0.20448815590438763,0.29338753799422534,0.6675955482847825
Ω₅,₄,-0.22268987735698603,-0.056214845266370723,-0.012006804707931472,0.030278649053972498,0.17183865135078238
Ω₆,₄,-0.16282809800031697,-0.040173483386404994,-0.005090297904136716,0.03013977507857846,0.1487229870114986
Ω₇,₄,-0.199257398431034,-0.05755466600289518,-0.01550959530802759,0.02188186871119361,0.14860147988539726
Ω₈,₄,-0.15623204735555057,-0.021717367337613192,0.018091512858952306,0.06026889244503509,0.22919731686518946
Ω₅,₅,0.061527822425915854,0.10468761740424073,0.14890024217679304,0.21813958171450962,0.5106892143892928
Ω₆,₅,-0.14711642963058344,-0.03400696714901346,-0.0022625248664148055,0.02854759668320685,0.13493922300845224
Ω₇,₅,-0.15683635701193527,-0.02722023478206345,0.006460335573596271,0.041307571298413996,0.17599299351249728
Ω₈,₅,-0.17112545053471168,-0.0416501811379492,-0.0041335100330927846,0.031045595931704275,0.16872125179709646
Ω₆,₆,0.05454981265449595,0.09068674769407674,0.1275683945094338,0.1814096358552466,0.3962695873995779
Ω₇,₆,-0.15994244483193093,-0.04205340169384596,-0.008696880310881817,0.021197468745809023,0.11425067343304315
Ω₈,₆,-0.16333122338762085,-0.043228466712055325,-0.010239310901731325,0.019805118043342933,0.12113536331560479
Ω₇,₇,0.061634074080412715,0.10728079502330364,0.1491368402578918,0.2147673465318326,0.5114648878498266
Ω₈,₇,-0.133056000814172,-0.01865287360864324,0.013948092144049363,0.05033332190419648,0.196910191538818
Ω₈,₈,0.06462248576629957,0.11114321786337394,0.15593177133010877,0.22547724216214576,0.5154186941868671
