parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
logθKa,-0.7735330789068744,0.5984570972081095,0.009462437545352104,0.014038655934855381,2061.711553949761,1.001269201337611,0.04649951430190384
logθKe,-1.8504450468090694,0.5579740897069039,0.008822344994164646,0.010986888847863854,1913.8806374136034,0.9997169502788501,0.0431653593350912
logθVd,4.701380642769339,0.5278442382489291,0.00834595021331592,0.01148482273267951,1899.6476336610933,1.0000834111211627,0.042844350433394456
logθn,0.868188013610713,0.443938554954955,0.007019284874107433,0.010104829435461687,1849.686742119985,1.0023019177231887,0.04171754043599157
logθδ,-1.349720557865925,0.45188600577025156,0.00714494510494993,0.011588721247851425,1711.5789360562646,1.0018391684291161,0.03860267895550873
logθc,1.5919227828169724,0.3438935982846873,0.005437435216652927,0.007879208748390907,2274.26244958655,1.0000103248044534,0.05129335337828231
logθEC50,-2.6940985130062716,0.5372336585880934,0.008494409984218269,0.01232231110309455,2477.235853862977,1.0024889417423055,0.05587118323861195
ω²Ka,0.6871514780246004,0.5512979846228303,0.008716786504343134,0.008389253873803793,3572.291351897112,0.9998077738796085,0.08056889068205458
ω²Ke,0.6328347091834963,0.5249631166606873,0.00830039568114229,0.00893079617377925,3518.5644168755853,1.0004771186230779,0.07935714193929529
ω²Vd,0.5644845005329365,0.5192422973955263,0.008209941586341894,0.00895053670310772,3523.8338903039225,1.000964693087835,0.07947598880445209
ω²n,0.7222595496556484,0.5303660068134161,0.00838582287529388,0.008811487141376301,3682.515718498564,1.0000041157890651,0.0830548735060745
ω²δ,0.8417185951168278,0.5084007831840709,0.008038522195375477,0.008017899361024627,3643.3766625083435,1.0008508104160942,0.08217213746557762
ω²c,0.3770380865297714,0.44448686942774734,0.007027954487147724,0.007542961439463446,3060.7432233511627,0.9996846242299486,0.06903151559490205
ω²EC50,0.6725758075602852,0.5478617677829934,0.008662455145602583,0.009827040549107971,3406.5314723163383,1.0003049758165359,0.07683036873581929
σ²PK,0.03993085590721951,0.012327055763935776,0.00019490786528971978,0.00017273358135503706,3517.6513181944542,0.9997493038811553,0.07933654805694498
σ²PD,0.05107835863019883,0.01824098122847514,0.00028841523719178854,0.0003077221585393977,2672.4938669622848,1.0001241839818447,0.06027500139410444
