parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
TVCL,4.0458119859999995,0.48031159164522574,0.015872043788994785,913.587528879478,1694.9421769961857,1.004432229014063,0.00438870009368541
TVVC,51.693157975000005,6.139387958814986,0.14341949840145202,1956.7647558704243,1430.3114714227972,1.0020363223666648,0.00908637639874325
TVQ,4.299289600500002,0.938100460102671,0.021774755140971717,2199.6253937824013,1683.335489459493,1.0018904659023775,0.010495720203039311
TVVP,48.03356877,6.17817611494149,0.1299047852362703,2410.201520286945,2070.61494826761,1.0012623523994748,0.011502991446646444
TVKA,0.7877500046500001,0.12676499601669344,0.0026541336859327858,2262.5118413146492,1478.4036800028507,1.001219978125898,0.010688553618698996
TVMTT,117.99385133999999,16.14531589510967,0.3286807800680084,2539.6991653856576,2440.54857061891,1.0012949565534268,0.012030112581156917
TVCIRC0,4.998161751500001,0.5856941925751817,0.01118762494276506,2839.158025496046,2545.023641646711,1.0008897137637507,0.013260032886598083
TVGAMMA,0.138207591035,0.037171369938499246,0.00068275874149138,2947.1905790237524,2891.6767917187854,1.001002713650642,0.014064146316567883
TVALPHA,0.00033380610704999996,5.833170144397492e-5,1.0998866778772999e-6,2790.589163772433,2812.557868343589,1.0009912545278505,0.013358976686000326
ωCL,0.40544252835000005,0.09042593806249866,0.0020165086938098305,1939.4065837875228,2455.6937988330396,1.0018889902868717,0.009228336319184308
ωVC,0.22198259632235,0.08737521661492434,0.002050611935170325,1737.1612341541404,1415.0078373417703,1.003048583971391,0.008620369004765184
ωQ,0.155248096083955,0.1203568729788009,0.002226663205523901,2737.760106538035,2490.8084012841214,1.00085308086488,0.01301936494572219
ωVP,0.2528447161479,0.10438878006839405,0.002469987385788158,1631.8642389720874,1454.184562314408,1.001242479430359,0.007803249637466513
ωKA,0.26910475235517006,0.12650464165755726,0.0035938171316864955,1176.2099991780256,1173.2373845935504,1.0045015882703612,0.005766358782414617
ωMTT,0.29378881724015005,0.1402154179875659,0.0034871946662491287,1482.6719348257475,1411.0354272608652,1.0019022752525641,0.007108323576165776
ωCIRC0,0.38635177075000005,0.08985134279600786,0.0016891189091055637,2903.421885012569,3038.12782705916,1.001188503621412,0.013628566612099482
ωGAMMA,0.564890697245,0.17306589151569785,0.0032368559158675258,2907.0772396815532,3008.2830895472644,1.0010229668335335,0.014002637102017861
ωALPHA,0.42979089029999995,0.12719275917363587,0.0021750613047386027,3413.3001376371562,3127.5418070386318,1.0004347963694578,0.016145311308851072
σ,0.19268577654999997,0.006686198594340681,8.803130873324417e-5,5867.4948502609095,3002.744700344384,1.0006404482495863,0.028196123501260967
σ_pd,0.2111770983,0.008528643732278421,0.00011261491224780828,5853.71623208112,2737.593538786134,1.000268942414587,0.02804882489070838
